Country,Cultural_Factor,Adaptation_Needed,Adaptation_Level
Country 1,Religion,Yes,0.1017871707212461
Country 11,Customs,No,0.18689981729374971
Country 48,Etiquette,Yes,0.5657228017389961
Country 2,Language,Yes,0.9066647023577754
Country 48,Values,Yes,0.828093658260464
Country 22,Language,No,0.18433849497795984
Country 4,Language,Yes,0.49998030098525836
Country 9,Etiquette,No,0.6696346110410404
Country 9,Values,No,0.7959217580007242
Country 2,Values,Yes,0.6812553198025079
Country 34,Etiquette,No,0.036239767453407734
Country 40,Language,No,0.1983499119095382
Country 41,Language,No,0.6128835005294831
Country 43,Language,No,0.9066627877041739
Country 47,Language,Yes,0.03895869474609959
Country 22,Religion,No,0.3184077353874083
Country 31,Religion,No,0.08002540356639387
Country 3,Customs,No,0.26054794745902343
Country 49,Values,No,0.9738336446875543
Country 8,Values,No,0.4254121971410306
Country 20,Language,Yes,0.7388048491238711
Country 17,Language,Yes,0.8757970914823524
Country 21,Values,No,0.3143603446668919
Country 29,Values,No,0.49756602064009936
Country 1,Customs,Yes,0.5413738447044649
Country 6,Religion,Yes,0.5094930745310662
Country 6,Values,No,0.12153891082627089
Country 40,Values,Yes,0.6594754632581321
Country 32,Values,Yes,0.4044114602417298
Country 40,Customs,No,0.1728164787152895
Country 36,Language,Yes,0.7327407158499727
Country 18,Language,No,0.7821920679884342
Country 36,Values,No,0.9109705021216696
Country 38,Customs,Yes,0.1376389052568887
Country 49,Customs,No,0.6099715548476712
Country 37,Language,No,0.47561972609171865
Country 38,Values,No,0.005503943474361228
Country 36,Customs,Yes,0.31775066935352625
Country 43,Language,No,0.17956839372803712
Country 3,Religion,No,0.6615173175819217
Country 49,Language,Yes,0.08689439419827205
Country 22,Language,No,0.13905501200772474
Country 44,Etiquette,No,0.3354386750320083
Country 46,Customs,No,0.8522443188459677
Country 25,Language,Yes,0.37881799435559116
Country 23,Religion,No,0.11942074243077094
Country 25,Etiquette,Yes,0.9760660687622268
Country 9,Religion,No,0.3130161503306357
Country 17,Language,Yes,0.8028409176965084
Country 12,Customs,No,0.923178542490052
Country 27,Language,No,0.15054436643669333
Country 5,Values,Yes,0.9128567806444089
Country 8,Etiquette,No,0.22596126844508524
Country 32,Language,Yes,0.22778564276437407
Country 44,Religion,Yes,0.9051943864750683
Country 42,Language,Yes,0.31444319519399033
Country 7,Religion,Yes,0.9048566361362447
Country 5,Customs,No,0.15210780505388322
Country 31,Etiquette,No,0.02865148284347674
Country 24,Language,Yes,0.15083209528889652
Country 18,Etiquette,Yes,0.39691884735119787
Country 29,Language,No,0.07100042482676827
Country 36,Language,No,0.6258779134003206
Country 25,Language,No,0.04619833578765298
Country 33,Etiquette,Yes,0.642531204648083
Country 33,Language,Yes,0.5571722653049305
Country 14,Religion,No,0.7730116505558252
Country 18,Values,Yes,0.6776569717925625
Country 25,Religion,No,0.5275148636975265
Country 2,Customs,No,0.3190815467987038
Country 49,Etiquette,No,0.4057058731362114
Country 24,Values,Yes,0.6367005372279864
Country 40,Etiquette,Yes,0.4977359315177229
Country 12,Values,Yes,0.6050348661545151
Country 46,Etiquette,Yes,0.21366644746358354
Country 35,Customs,No,0.45292014075719444
Country 10,Etiquette,Yes,0.47619948451427674
Country 33,Language,No,0.9837578371018321
Country 46,Values,No,0.16560622872476727
Country 33,Religion,Yes,0.13874973749568187
Country 9,Religion,No,0.44929102548339295
Country 37,Values,Yes,0.21202731093134608
Country 17,Etiquette,No,0.9049896514189859
Country 11,Language,No,0.5784285377073699
Country 15,Values,No,0.1961822181483851
Country 36,Religion,No,0.32368941815437957
Country 33,Language,Yes,0.12055272357182711
Country 40,Values,No,0.4640690469415971
Country 40,Language,Yes,0.5627181956521287
Country 31,Values,No,0.2870309192452686
Country 42,Religion,No,0.04794532820797548
Country 47,Religion,Yes,0.07232132837436822
Country 48,Language,No,0.030612589797792245
Country 32,Language,No,0.37488518848740326
Country 44,Etiquette,Yes,0.9820074266577069
Country 39,Etiquette,Yes,0.10514824518170385
Country 17,Religion,Yes,0.9832050994865074
Country 43,Religion,Yes,0.4186883052261432
Country 24,Customs,No,0.12208620304465634
Country 11,Religion,No,0.10207815268630038
Country 30,Values,No,0.10110579010981713
Country 6,Language,No,0.2746622167690318
Country 32,Language,No,0.943642300843072
Country 47,Language,No,0.6510690028623084
Country 41,Etiquette,Yes,0.937286884918533
Country 12,Language,No,0.5622252163750208
Country 6,Etiquette,No,0.08004121452241142
Country 39,Customs,Yes,0.32838365900158195
Country 15,Religion,No,0.39605482543758375
Country 39,Values,Yes,0.951367556555245
Country 24,Language,No,0.974039858893128
Country 5,Values,No,0.9200959917659948
Country 21,Religion,Yes,0.6607889216783511
Country 12,Language,No,0.6432221106900031
Country 36,Customs,Yes,0.5374111370932023
Country 1,Language,No,0.9038148401815891
Country 33,Language,Yes,0.8147471706773727
Country 33,Language,Yes,0.23835081489458976
Country 36,Language,Yes,0.803625648621979
Country 24,Language,No,0.714860329961312
Country 31,Language,Yes,0.5469038387005434
Country 4,Etiquette,No,0.008695860284723689
Country 14,Language,No,0.9032445131106315
Country 30,Language,No,0.39524021127145137
Country 4,Religion,Yes,0.1707351386129078
Country 33,Language,Yes,0.4847595405415699
Country 44,Values,No,0.9300439177638717
Country 20,Religion,Yes,0.949096714551532
Country 19,Etiquette,Yes,0.6034200897613841
Country 29,Language,Yes,0.12204996623518072
Country 50,Language,No,0.08898257447325297
Country 18,Language,Yes,0.6736971747520987
Country 4,Religion,No,0.29838978643523806
Country 50,Values,No,0.10208464985809862
Country 23,Religion,Yes,0.30719950126506657
Country 1,Language,Yes,0.5864306762650702
Country 33,Customs,No,0.13623399083125787
Country 49,Language,No,0.7816227274029676
Country 18,Etiquette,Yes,0.3706425923796368
Country 49,Etiquette,Yes,0.9809220684442362
Country 10,Language,No,0.0028316234592065115
Country 33,Etiquette,Yes,0.8487156237407141
Country 18,Religion,Yes,0.4335934639416916
Country 39,Values,Yes,0.5978205470200627
Country 34,Language,Yes,0.5820168198740173
Country 2,Religion,Yes,0.8186521561194594
Country 37,Language,No,0.5305063563351405
Country 45,Religion,No,0.13551132123193788
Country 36,Etiquette,Yes,0.6715100348827591
Country 14,Values,Yes,0.03276255816094609
Country 39,Language,Yes,0.9467892135553763
Country 50,Language,No,0.2744413608218783
Country 49,Religion,Yes,0.7969150996841257
Country 37,Customs,Yes,0.15301308748680964
Country 11,Religion,Yes,0.04668102952606257
Country 43,Values,No,0.29269045759182655
Country 43,Etiquette,No,0.4557038016660818
Country 34,Customs,No,0.7014066575936931
Country 29,Etiquette,Yes,0.3502574119550639
Country 43,Values,Yes,0.23156062860369453
Country 8,Language,No,0.36077487816273446
Country 39,Values,Yes,0.6697393967942695
Country 24,Etiquette,No,0.4779935339957587
Country 26,Etiquette,No,0.5225105308226994
Country 46,Customs,Yes,0.49985573606448197
Country 50,Etiquette,Yes,0.14867513528916076
Country 17,Etiquette,Yes,0.9817755130829526
Country 40,Language,No,0.8924107263047976
Country 50,Customs,No,0.04828036631839716
Country 18,Values,No,0.4839299840770994
Country 8,Etiquette,No,0.6747205713109841
Country 41,Etiquette,No,0.08253601660685284
Country 15,Religion,Yes,0.29962941852384695
Country 49,Language,Yes,0.40629402019158234
Country 44,Values,Yes,0.47274704534784107
Country 3,Language,Yes,0.44454248466508683
Country 17,Language,Yes,0.25040476258069466
Country 14,Religion,Yes,0.6896749942459495
Country 23,Religion,Yes,0.7569919444855128
Country 15,Etiquette,No,0.5450282110212017
Country 3,Religion,No,0.0477485720956069
Country 48,Religion,No,0.7133499643842475
Country 18,Customs,No,0.033971347898470894
Country 25,Language,No,0.09921159284928871
Country 14,Religion,No,0.27719235397735076
Country 50,Etiquette,No,0.670627805588413
Country 46,Values,Yes,0.6351917527325515
Country 49,Customs,No,0.3732860952238335
Country 13,Language,No,0.9820544660817846
Country 32,Values,Yes,0.35862820379206073
Country 20,Religion,Yes,0.04739907447606406
Country 46,Language,No,0.3034234582272457
Country 32,Customs,Yes,0.05284687239030228
Country 4,Customs,No,0.6763323066493521
Country 32,Customs,No,0.5003809661974444
Country 7,Language,Yes,0.16583624438259892
Country 13,Etiquette,Yes,0.748786415076571
Country 23,Customs,No,0.1379323506342075
Country 13,Customs,No,0.09317072575826202
Country 49,Language,No,0.3176338327395064
Country 8,Religion,Yes,0.10716711530925327
Country 2,Religion,No,0.34120105434157544
Country 34,Etiquette,Yes,0.6644751233750543
Country 14,Customs,No,0.3799036572325908
Country 42,Religion,Yes,0.9020346931054957
Country 18,Language,No,0.4537209825719818
Country 30,Language,Yes,0.9287666190479122
Country 17,Customs,No,0.20802410075333588
Country 6,Religion,No,0.37098446979255917
Country 12,Etiquette,Yes,0.7631519018071855
Country 32,Etiquette,Yes,0.3391936041902571
Country 27,Etiquette,Yes,0.13588860497460475
Country 1,Customs,No,0.17555573500577704
Country 42,Customs,No,0.8330056357186717
Country 27,Language,No,0.8952797804356659
Country 27,Values,Yes,0.4694333437582995
Country 28,Values,Yes,0.5471584975181131
Country 1,Religion,No,0.15362620007406347
Country 2,Values,Yes,0.030260065221459076
Country 23,Customs,No,0.8355147724374945
Country 21,Language,No,0.4194125134734964
Country 14,Values,Yes,0.5174102567599573
Country 49,Etiquette,No,0.8621228550365102
Country 50,Values,No,0.60454003045674
Country 14,Values,No,0.7984345953616561
Country 21,Etiquette,No,0.9502429760424568
Country 34,Religion,Yes,0.14132272430511406
Country 1,Language,Yes,0.34124773489177995
Country 14,Religion,No,0.9790731283159081
Country 11,Customs,No,0.3247532664511835
Country 21,Etiquette,Yes,0.9648366376858295
Country 48,Religion,Yes,0.47771208109048424
Country 39,Etiquette,Yes,0.06462490051648828
Country 32,Customs,No,0.9096697915589793
Country 43,Language,Yes,0.3808925601768085
Country 29,Customs,Yes,0.42033591987173635
Country 43,Etiquette,Yes,0.9926481475974346
Country 32,Etiquette,No,0.21315248793235841
Country 16,Etiquette,No,0.9194557155441899
Country 15,Customs,No,0.04703863594706503
Country 46,Religion,No,0.6351390456413252
Country 48,Religion,Yes,0.2179741448896031
Country 22,Customs,No,0.21769548807105
Country 28,Etiquette,Yes,0.35697305440833604
Country 17,Etiquette,Yes,0.769855387517294
Country 16,Religion,No,0.45937297494016927
Country 41,Values,No,0.0009257053515184799
Country 38,Etiquette,No,0.6091521269545609
Country 8,Customs,No,0.08093094262773826
Country 7,Values,Yes,0.021873493942632938
Country 22,Customs,No,0.9896047001498366
Country 18,Values,Yes,0.8840519535850604
Country 29,Language,Yes,0.30044135256747695
Country 29,Customs,No,0.006437656616681053
Country 17,Values,Yes,0.6063289975634564
Country 46,Etiquette,Yes,0.3484340207951243
Country 33,Language,Yes,0.7456099436968895
Country 11,Language,No,0.8422918929321621
Country 4,Customs,Yes,0.7478646667788947
Country 44,Values,Yes,0.5154803587978921
Country 48,Religion,No,0.17862739720830445
Country 2,Values,Yes,0.29924573088341455
Country 44,Values,Yes,0.13002685031816907
Country 10,Religion,No,0.8533750172935268
Country 26,Language,Yes,0.1642940008727547
Country 27,Language,No,0.8497267857944558
Country 44,Religion,No,0.7326916782814388
Country 29,Religion,No,0.2583386703898026
Country 38,Etiquette,No,0.7132060522116825
Country 46,Language,No,0.41848891806994626
Country 18,Customs,Yes,0.2364015159857571
Country 34,Etiquette,Yes,0.11101914480573816
Country 18,Language,No,0.2720888932390564
Country 36,Religion,Yes,0.7212625859594176
Country 44,Values,No,0.30994951212833044
Country 16,Values,Yes,0.5949863311606568
Country 37,Language,Yes,0.750838227564003
Country 13,Etiquette,No,0.5112359885443138
Country 29,Etiquette,No,0.0904951620124671
Country 46,Values,Yes,0.15488783401450934
Country 42,Values,Yes,0.2761863731589099
Country 16,Customs,No,0.7595123767067443
Country 17,Language,Yes,0.032685368303117635
Country 11,Customs,No,0.9130312252246188
Country 27,Customs,Yes,0.13099428901835986
Country 13,Etiquette,Yes,0.26681515290466984
Country 27,Customs,No,0.8274770220365095
Country 50,Etiquette,Yes,0.07867713203493332
Country 12,Religion,Yes,0.5405319713055295
Country 26,Values,Yes,0.013771553079548582
Country 4,Etiquette,Yes,0.424027422291829
Country 6,Customs,No,0.7581957056545373
Country 29,Customs,Yes,0.3997788813990707
Country 3,Customs,Yes,0.7907431532528504
Country 4,Customs,No,0.8729998261808942
Country 4,Customs,No,0.7549855756067508
Country 26,Etiquette,No,0.5607317938075654
Country 33,Religion,Yes,0.13731077546162995
Country 28,Religion,No,0.5902533314664524
Country 36,Language,No,0.9991029826440742
Country 21,Customs,No,0.9117119004738837
Country 1,Etiquette,No,0.8989641109249003
Country 11,Values,Yes,0.7677630085002289
Country 29,Religion,Yes,0.828494229858292
Country 50,Values,Yes,0.8837705607310249
Country 41,Values,Yes,0.005765926722308468
Country 29,Religion,No,0.4188341136100536
Country 31,Values,No,0.5757648568852147
Country 16,Values,Yes,0.7258232772207912
Country 29,Language,Yes,0.6764603638909105
Country 43,Values,No,0.42549471006468786
Country 49,Values,Yes,0.11176408577819508
Country 36,Customs,No,0.8471185140742453
Country 32,Religion,No,0.6589415982889119
Country 39,Etiquette,No,0.2625435372084639
Country 49,Language,Yes,0.94561032485741
Country 9,Values,No,0.28584410970310237
Country 12,Values,Yes,0.6251738049168205
Country 16,Values,Yes,0.9382066969496068
Country 24,Etiquette,No,0.27919008663557865
Country 27,Language,No,0.8835719938579899
Country 47,Etiquette,No,0.5374789408968459
Country 36,Customs,Yes,0.8132375015426195
Country 21,Values,No,0.8288813577744472
Country 40,Religion,No,0.4842005320113787
Country 45,Values,No,0.5648177084388369
Country 42,Language,Yes,0.25392128468716235
Country 13,Religion,Yes,0.018487276819489695
Country 12,Values,Yes,0.5918133461892793
Country 25,Etiquette,Yes,0.7037435322544756
Country 30,Customs,Yes,0.39154981439249315
Country 43,Religion,Yes,0.8946718405583736
Country 27,Values,Yes,0.9732846487991669
Country 21,Etiquette,Yes,0.5615215328252535
Country 32,Etiquette,No,0.9825630736814386
Country 1,Language,Yes,0.3740972010416611
Country 40,Religion,Yes,0.22924004280598187
Country 39,Religion,No,0.32795918256124634
Country 41,Religion,Yes,0.23971432311956886
Country 1,Customs,No,0.690401852973868
Country 44,Religion,Yes,0.03919483542105817
Country 17,Language,No,0.9530841669368684
Country 25,Religion,Yes,0.18268343710355917
Country 32,Language,No,0.369491087602125
Country 19,Customs,Yes,0.827543513239082
Country 3,Language,Yes,0.6632455989718724
Country 22,Etiquette,No,0.2560048522765229
Country 14,Customs,No,0.6632103875798901
Country 8,Language,Yes,0.5115730526908556
Country 20,Customs,No,0.412007438521403
Country 50,Customs,No,0.5795597571664534
Country 9,Religion,No,0.5828513417498469
Country 11,Etiquette,No,0.40597856963125545
Country 21,Religion,No,0.7232008838874155
Country 37,Customs,Yes,0.38911035898523627
Country 20,Customs,No,0.4477620586710218
Country 30,Etiquette,No,0.7178365029951294
Country 1,Language,No,0.5143809906347976
Country 4,Religion,No,0.6716831604965025
Country 46,Values,Yes,0.2507753741844938
Country 26,Values,Yes,0.5325302391493213
Country 2,Religion,Yes,0.3224880706041138
Country 46,Language,Yes,0.508763702745647
Country 39,Customs,No,0.5816990463945755
Country 16,Values,Yes,0.6763793559335014
Country 26,Language,No,0.1249188978863196
Country 28,Etiquette,Yes,0.10538663528872849
Country 20,Etiquette,No,0.11071580113343538
Country 14,Values,No,0.3590201094322575
Country 7,Language,No,0.6137220665870188
Country 20,Language,No,0.47091179355919777
Country 3,Religion,Yes,0.7100373085321595
Country 40,Values,Yes,0.953606277966461
Country 28,Language,Yes,0.3594622169735764
Country 36,Etiquette,No,0.5021847719594874
Country 46,Customs,No,0.5153841062914762
Country 35,Religion,Yes,0.6707528147656666
Country 13,Religion,No,0.5288548071748419
Country 41,Religion,Yes,0.03543604944886858
Country 10,Customs,Yes,0.40027864162646976
Country 4,Language,No,0.14905858200346211
Country 19,Values,No,0.9522780131971631
Country 10,Language,No,0.7200418828314928
Country 14,Religion,No,0.8874977494897516
Country 12,Religion,No,0.12787091400038064
Country 18,Values,Yes,0.509087256916544
Country 48,Language,No,0.744913918391682
Country 26,Customs,Yes,0.08220604368402873
Country 22,Values,No,0.846652873327859
Country 1,Language,No,0.7339200568312543
Country 6,Language,Yes,0.776842914340388
Country 39,Customs,Yes,0.1225777069356675
Country 31,Values,No,0.6316929420586523
Country 18,Customs,Yes,0.7527628207801415
Country 20,Customs,No,0.6033869881930354
Country 10,Religion,Yes,0.44870711340875336
Country 36,Etiquette,No,0.016851708195374848
Country 2,Religion,Yes,0.21769152162375371
Country 28,Etiquette,Yes,0.029584178554376228
Country 49,Customs,Yes,0.5773608977023548
Country 38,Customs,No,0.99990435467928
Country 5,Values,Yes,0.8979809588516139
Country 14,Customs,Yes,0.5708634572412927
Country 24,Religion,Yes,0.7253045510746687
Country 45,Religion,No,0.9140544489403121
Country 6,Customs,No,0.9373052820756632
Country 44,Customs,No,0.017565667460044176
Country 13,Etiquette,No,0.7187423841548385
Country 16,Language,Yes,0.13645928278688257
Country 5,Customs,No,0.33632796066771675
Country 17,Language,Yes,0.26509945512150634
Country 4,Religion,Yes,0.6901509646944061
Country 1,Language,No,0.7267681361564751
Country 27,Language,Yes,0.3077115992689826
Country 50,Etiquette,Yes,0.43616775034294053
Country 39,Language,Yes,0.36790768422027365
Country 29,Etiquette,Yes,0.34869255360103724
Country 21,Customs,Yes,0.7520315085093584
Country 31,Religion,No,0.05425799898949202
Country 29,Etiquette,No,0.5213691396098162
Country 43,Customs,Yes,0.00656394317138187
Country 47,Language,No,0.45343790771100556
Country 6,Etiquette,Yes,0.8908880058105119
Country 47,Values,Yes,0.9193327209205009
Country 19,Customs,No,0.23914200359513182
Country 26,Etiquette,Yes,0.18469831455956087
Country 23,Customs,Yes,0.4287051577351696
Country 24,Customs,Yes,0.8980540344463157
Country 14,Language,Yes,0.6464541935854529
Country 24,Values,Yes,0.5780102987175586
Country 7,Etiquette,No,0.8985539391941688
Country 47,Religion,Yes,0.5723670292856552
Country 38,Religion,No,0.36018476076276695
Country 5,Customs,Yes,0.5932266568865819
Country 11,Language,No,0.7306465280711975
Country 33,Customs,Yes,0.2137603032566845
Country 9,Customs,No,0.395358206443587
Country 46,Language,Yes,0.45194018865403796
Country 17,Religion,No,0.38780547835322865
Country 45,Customs,Yes,0.6019794693041008
Country 20,Language,No,0.5081146273101351
Country 14,Language,No,0.24038063355044692
Country 23,Etiquette,Yes,0.17109523801102877
Country 15,Values,Yes,0.880699803214018
Country 29,Values,No,0.12014623196965335
Country 35,Religion,No,0.3234478787707107
Country 41,Language,Yes,0.21929921535304775
Country 22,Religion,No,0.4871555360518802
Country 20,Language,Yes,0.2274972721075229
Country 27,Customs,No,0.6397760433329917
Country 24,Etiquette,Yes,0.5721350004138978
Country 17,Language,Yes,0.07946533069630557
Country 9,Religion,No,0.5761715993441043
Country 7,Values,No,0.4379478703185057
Country 23,Etiquette,No,0.7874077923926489
Country 4,Language,No,0.592535716359982
Country 39,Language,Yes,0.39775960526647924
Country 11,Customs,No,0.0949802486049619
Country 17,Values,Yes,0.1741094818687291
Country 47,Etiquette,Yes,0.22291053427004692
Country 10,Religion,Yes,0.7671855882738802
Country 9,Customs,No,0.29368093228760606
Country 18,Language,No,0.6151055880586251
Country 50,Values,Yes,0.5171043999831573
Country 11,Customs,No,0.8089690777960343
Country 33,Values,No,0.2722882538074516
Country 15,Language,Yes,0.9066787076395807
Country 46,Etiquette,No,0.8896262914297657
Country 14,Religion,Yes,0.3887641577422485
Country 22,Religion,No,0.409360272782784
Country 9,Language,Yes,0.12928022466629074
Country 12,Customs,Yes,0.8176593314112749
Country 47,Language,Yes,0.9198554436764252
Country 9,Etiquette,Yes,0.07051056625993302
Country 33,Etiquette,No,0.2645149787029287
Country 6,Etiquette,Yes,0.20635228685477824
Country 3,Customs,No,0.5508216756226587
Country 45,Customs,No,0.6364420138748275
Country 35,Customs,No,0.16000407677098794
Country 15,Etiquette,Yes,0.7092357599863387
Country 40,Values,No,0.9905800968509698
Country 11,Religion,No,0.756902270950585
Country 23,Etiquette,Yes,0.8973495413634069
Country 36,Religion,Yes,0.13860463485537877
Country 28,Religion,Yes,0.534257489949211
Country 25,Religion,No,0.28345454079672405
Country 33,Religion,No,0.449697212581326
Country 43,Customs,No,0.8526927902142251
Country 8,Language,Yes,0.9472265809917508
Country 19,Religion,Yes,0.5713664947282749
Country 33,Religion,Yes,0.23098549279296066
Country 13,Religion,Yes,0.2738728114519945
Country 14,Customs,Yes,0.5044843904426144
Country 6,Customs,Yes,0.8373487246958939
Country 4,Etiquette,No,0.0023795231261074523
Country 42,Values,No,0.1631700622081903
Country 45,Language,Yes,0.5605326442128784
Country 14,Language,Yes,0.6448732795150115
Country 12,Customs,Yes,0.4124816286650488
Country 2,Religion,No,0.1453291393018188
Country 49,Customs,Yes,0.6459840362194732
Country 27,Etiquette,Yes,0.4462339209425964
Country 25,Values,No,0.9196600791702987
Country 49,Religion,Yes,0.1414845441717687
Country 41,Customs,No,0.9276327246177078
Country 28,Religion,Yes,0.011025545955529736
Country 5,Religion,Yes,0.7107987838011466
Country 6,Etiquette,Yes,0.4384797272951527
Country 24,Religion,Yes,0.35677796377566173
Country 36,Etiquette,Yes,0.2788065936869393
Country 13,Values,No,0.7610303911152432
Country 39,Values,No,0.04083509799167495
Country 18,Values,Yes,0.323910916683698
Country 2,Religion,Yes,0.1095847274765519
Country 17,Etiquette,No,0.0693644347162734
Country 49,Language,Yes,0.45840370354252225
Country 29,Customs,No,0.9800706300041477
Country 28,Etiquette,No,0.2888985007518574
Country 42,Values,Yes,0.7796420223627027
Country 37,Etiquette,Yes,0.5514428375880776
Country 18,Etiquette,Yes,0.09495828690744312
Country 7,Language,No,0.07694561224159802
Country 50,Religion,Yes,0.7798438355431813
Country 11,Values,No,0.5748623208626932
Country 30,Values,Yes,0.5848157143081653
Country 20,Customs,No,0.775685273840678
Country 12,Language,No,0.964450951280161
Country 48,Customs,No,0.725496830833629
Country 6,Language,Yes,0.8983178408190253
Country 28,Language,No,0.203634428385992
Country 46,Etiquette,Yes,0.9477414206204661
Country 3,Religion,No,0.9297400826506435
Country 42,Etiquette,No,0.23283963153837095
Country 1,Language,Yes,0.9767457334082983
Country 35,Language,Yes,0.25314718804067304
Country 38,Religion,Yes,0.20954446702935758
Country 47,Religion,Yes,0.10336231165008447
Country 5,Etiquette,No,0.5059446915810852
Country 39,Language,No,0.18652762877875906
Country 40,Values,Yes,0.2528283774992818
Country 7,Values,No,0.7482031835522985
Country 49,Religion,No,0.5244159467398125
Country 18,Customs,Yes,0.02218718749097892
Country 27,Language,No,0.8888863732701704
Country 14,Language,Yes,0.6462002688940065
Country 45,Language,No,0.19968486990180467
Country 18,Etiquette,No,0.7672242049172978
Country 35,Religion,Yes,0.24476888024944243
Country 45,Etiquette,No,0.5836556591989002
Country 50,Etiquette,Yes,0.6058041440326263
Country 14,Values,Yes,0.8138355366251097
Country 49,Etiquette,Yes,0.25107530757224894
Country 41,Customs,No,0.2694971193145572
Country 3,Religion,No,0.08073282239056911
Country 18,Language,Yes,0.8649944857645323
Country 37,Etiquette,No,0.04281808898290118
Country 11,Values,No,0.07607082742095805
Country 39,Customs,No,0.15763072996280836
Country 25,Language,No,0.07031857307411882
Country 14,Etiquette,No,0.19719602765415312
Country 15,Etiquette,No,0.5894423751906599
Country 39,Religion,No,0.09864911613986105
Country 39,Language,No,0.12042040178437685
Country 36,Customs,No,0.9302825154412945
Country 3,Customs,Yes,0.4557522777059164
Country 50,Customs,No,0.9691331462803333
Country 13,Values,No,0.18558075151112752
Country 28,Values,No,0.009498441184902395
Country 33,Religion,No,0.1659098432311873
Country 40,Language,Yes,0.33649341386907383
Country 7,Religion,No,0.7300030517131314
Country 28,Values,Yes,0.9502067257408761
Country 49,Customs,Yes,0.3154100168709122
Country 48,Customs,Yes,0.1053248682575233
Country 48,Etiquette,No,0.2997832419910035
Country 29,Language,No,0.3315132199197043
Country 37,Etiquette,Yes,0.45225378800860117
Country 19,Language,Yes,0.19883285535530115
Country 17,Values,Yes,0.7413091519015187
Country 29,Values,No,0.19391253423835786
Country 37,Values,No,0.3331825218035216
Country 50,Etiquette,No,0.5322922588811397
Country 24,Language,Yes,0.37377100630309645
Country 21,Language,No,0.3995154345307145
Country 25,Etiquette,Yes,0.21606975089939995
Country 22,Etiquette,Yes,0.4164255619376437
Country 39,Etiquette,No,0.2226049973382429
Country 1,Etiquette,Yes,0.0947105134702686
Country 21,Values,Yes,0.6249093693757566
Country 15,Values,Yes,0.18057907803271012
Country 30,Language,No,0.20583498526184352
Country 31,Etiquette,No,0.7517498600587127
Country 22,Religion,No,0.26527979510223765
Country 13,Language,No,0.5091989525877535
Country 4,Values,No,0.4013821414134393
Country 46,Values,No,0.5002527534987302
Country 4,Religion,No,0.6483684535971485
Country 7,Religion,No,0.3177395758118319
Country 27,Values,Yes,0.3088905453731372
Country 7,Values,No,0.4014163266534958
Country 18,Customs,No,0.10889825180783197
Country 8,Etiquette,Yes,0.40114617483291404
Country 16,Customs,No,0.9070063359678344
Country 8,Etiquette,No,0.6683448579611456
Country 4,Etiquette,No,0.1576935495454037
Country 12,Religion,No,0.771179951498565
Country 9,Religion,No,0.9797416323368844
Country 46,Language,No,0.22061438110980502
Country 28,Language,No,0.3700381361098579
Country 11,Religion,Yes,0.8621880852302427
Country 32,Language,No,0.3956768519770333
Country 6,Language,No,0.6626727897183697
Country 21,Religion,No,0.3073107299625193
Country 10,Etiquette,Yes,0.009768159388590547
