Scenario,Country,Investment_Required_USD,Projected_ROI_Percent,Risk_Level
Scenario 47,Country 21,1934465.242360479,24.399889053017397,Medium
Scenario 48,Country 27,2383686.461968312,13.338343079950132,Medium
Scenario 49,Country 33,3998404.7101885346,10.772199933483602,Low
Scenario 50,Country 26,2827961.172361612,14.746332568626102,Medium
Scenario 51,Country 44,4803115.037461379,15.247275140398282,High
Scenario 52,Country 9,3663788.9698792784,8.109911454307198,Low
Scenario 53,Country 35,4809474.830279456,12.615085513809024,Medium
Scenario 54,Country 15,4707610.090485126,9.650116899531124,Low
Scenario 55,Country 15,711554.9916993667,11.035588403820531,High
Scenario 56,Country 1,3002313.519730942,11.576437867837031,Low
Scenario 57,Country 15,521946.2412119315,23.838434238016653,Medium
Scenario 58,Country 18,715464.0202424828,12.131667036612901,Low
Scenario 59,Country 31,470174.31444560643,14.145211807514954,Low
Scenario 60,Country 29,394240.29401156935,12.78035563061811,High
Scenario 61,Country 5,1515395.6721511115,16.02281382812304,Low
Scenario 62,Country 10,4357868.8322719,9.599808995286383,Medium
Scenario 63,Country 38,2209592.574377291,9.1255351525197,High
Scenario 64,Country 1,4015018.7166826543,23.50355507943695,Medium
Scenario 65,Country 16,1185551.3607153767,17.65340277314438,High
Scenario 66,Country 45,3530249.6411049105,13.361346984543559,Low
Scenario 67,Country 39,780075.0535869068,15.801802886052553,High
Scenario 68,Country 46,2676121.606597524,11.75172976394023,Medium
Scenario 69,Country 19,2119955.5099891108,17.495715800006586,Low
Scenario 70,Country 29,4474104.366838811,13.860000674988047,Medium
Scenario 71,Country 11,4039114.980683761,9.290288658551734,High
Scenario 72,Country 10,2333686.8007684355,5.309889580288562,Low
Scenario 73,Country 30,1898599.4356180404,14.528804532982473,High
Scenario 74,Country 16,635061.133445609,18.057148157510273,Medium
Scenario 75,Country 50,3363664.0513682766,14.077941635453522,Medium
Scenario 76,Country 30,2399501.9858705914,18.868414696766756,Low
Scenario 77,Country 25,2624108.4961794335,10.668581940367085,High
Scenario 78,Country 25,4389896.4925973965,10.764171368184583,Low
Scenario 79,Country 46,1585206.90931968,20.9387089211884,Low
Scenario 80,Country 41,3736988.862675602,8.470097057285288,High
Scenario 81,Country 23,3648903.8258798467,13.735521360851981,Low
Scenario 82,Country 35,4034235.1190314465,23.119922994790677,High
Scenario 83,Country 39,4408704.7829981595,24.515130960645372,Low
Scenario 84,Country 8,3593713.9624913447,18.042665801935573,High
Scenario 85,Country 18,2723843.441493194,15.33944386319993,High
Scenario 86,Country 50,3991056.698842667,23.97664933666217,Low
Scenario 87,Country 9,4082807.6817913954,14.398846478672633,Low
Scenario 88,Country 16,3319396.7933396995,8.343334890832665,Medium
Scenario 89,Country 47,3766578.1047941465,21.27977316461709,Medium
Scenario 90,Country 25,1671809.0157945766,8.076005407115762,Low
Scenario 91,Country 41,697347.103660062,12.966178998096298,Low
Scenario 92,Country 16,1897817.9001577457,14.739354463491964,Medium
Scenario 93,Country 12,1320011.8098981131,21.005530354578873,Medium
Scenario 94,Country 40,2722317.5788003,14.27363662113783,Low
Scenario 95,Country 42,4799526.412016254,13.328554657100714,High
Scenario 96,Country 7,2294062.264656128,20.755152329702412,Medium
Scenario 97,Country 46,4084924.9020964247,8.855832470752954,High
Scenario 98,Country 31,2939050.1589115066,14.115669584912274,Medium
Scenario 99,Country 35,1828909.5592944839,5.17214973003532,Medium
Scenario 100,Country 45,2169858.8022649316,18.62817386395797,Medium
Scenario 101,Country 5,964138.4661108106,12.62492532489523,Medium
Scenario 102,Country 47,4832905.526315069,12.34050476216613,Low
Scenario 103,Country 25,3873400.0668823705,23.063818502213785,Medium
Scenario 104,Country 37,2863994.316968518,8.789526851008219,Medium
Scenario 105,Country 47,3532748.0297079813,5.60975382682229,High
Scenario 106,Country 44,928476.4300438232,20.304568555786258,Medium
Scenario 107,Country 30,4201781.036966852,14.967243542992604,Medium
Scenario 108,Country 3,2495632.4390078015,14.608437445688933,Medium
Scenario 109,Country 10,2274988.924616638,8.593947237577247,High
Scenario 110,Country 27,1684717.410609927,5.191031412077683,Medium
Scenario 111,Country 26,1735954.6720729403,24.073549022390768,Low
Scenario 112,Country 19,1383943.4088612015,24.603357483940766,Low
Scenario 113,Country 42,4614140.942993163,16.604158163104376,Low
Scenario 114,Country 15,714432.4143262195,23.948694884441952,High
Scenario 115,Country 20,2844877.2860991945,5.518989870663682,Low
Scenario 116,Country 48,3222906.305760425,18.071418447884916,Low
Scenario 117,Country 15,3931736.039645736,6.32859682349271,High
Scenario 118,Country 42,482253.629655069,8.14755477160311,High
Scenario 119,Country 43,2904883.111266242,14.895201965194145,Low
Scenario 120,Country 30,4558163.671464857,11.68629583369962,Medium
Scenario 121,Country 18,2377341.0361167877,20.39305197416499,Medium
Scenario 122,Country 2,2121258.9117947402,9.102513651781019,High
Scenario 123,Country 6,1960389.718723912,18.04835714544496,Medium
Scenario 124,Country 33,4081715.0761066973,7.800217995395052,High
Scenario 125,Country 18,876709.1944417245,24.595097192601823,High
Scenario 126,Country 1,937445.4047614868,7.137554094746237,Low
Scenario 127,Country 27,1625801.8954575753,22.154204062133477,High
Scenario 128,Country 39,3079741.7796906293,17.765958023477406,High
Scenario 129,Country 16,3921027.3664285885,5.686644792179612,High
Scenario 130,Country 11,1008100.3342751852,24.802858026518813,Low
Scenario 131,Country 17,4559218.429782213,17.994484200873863,Low
Scenario 132,Country 24,1822955.3174628462,23.19767029104318,High
Scenario 133,Country 14,1330513.0514308484,11.474893914366964,Medium
Scenario 134,Country 45,2261597.932312665,20.56496651109318,High
Scenario 135,Country 20,813458.3664163165,19.540526229554334,Low
Scenario 136,Country 7,617869.0054262734,17.433921960355367,Low
Scenario 137,Country 45,3202819.7724481695,20.187363865104622,Low
Scenario 138,Country 33,4138028.993125496,17.30574987404431,High
Scenario 139,Country 19,236313.38277942996,17.943170331660866,Low
Scenario 140,Country 46,1365248.6505188092,7.448431650946043,High
Scenario 141,Country 31,1453601.09617319,22.259161621054172,Medium
Scenario 142,Country 35,4573623.017489022,8.790309812205741,High
Scenario 143,Country 18,4478310.668180652,13.54780568587241,High
Scenario 144,Country 35,917189.3235065009,6.965146773697672,High
Scenario 145,Country 20,1083960.7272872757,5.985418002965126,Low
Scenario 146,Country 1,1405515.786531203,20.78217043417752,Low
Scenario 147,Country 14,3844329.4694138085,9.871841085163007,High
Scenario 148,Country 29,2110650.424435987,21.742057013843365,Medium
Scenario 149,Country 34,2004792.425348025,17.376257096422894,Medium
Scenario 150,Country 34,1371862.2128225656,18.119532645561343,Low
Scenario 151,Country 13,1934040.978176465,9.458447505028769,Low
Scenario 152,Country 10,1224248.1995518024,7.770437273060871,Medium
Scenario 153,Country 25,1052756.738169766,7.128039725974071,Medium
Scenario 154,Country 6,4163231.4369302774,7.379082517056799,Medium
Scenario 155,Country 50,1409531.8870955128,18.596377247124455,Medium
Scenario 156,Country 19,484897.3947569578,20.379321127344532,Medium
Scenario 157,Country 14,1203623.6620084941,22.142987315328785,Low
Scenario 158,Country 15,1798313.0390430787,23.425887095574037,Medium
Scenario 159,Country 27,3721468.5685666907,13.165599401635813,Low
Scenario 160,Country 50,4143791.7108030207,21.295892747330353,Low
Scenario 161,Country 5,3138061.0847425815,17.06476972143481,Medium
Scenario 162,Country 50,3524152.9293080843,21.172209063463534,High
Scenario 163,Country 36,3825530.139031014,22.023279604666936,Low
Scenario 164,Country 9,2645051.8948540688,7.948048604154964,Low
Scenario 165,Country 6,3961160.68202784,12.257912227084711,Low
Scenario 166,Country 28,2383246.783068824,13.94292917129154,Low
Scenario 167,Country 40,3955073.115135997,10.608410714229898,Low
Scenario 168,Country 50,866373.4825667754,18.450441339443728,Medium
Scenario 169,Country 2,2539557.300703724,13.063928465020267,Medium
Scenario 170,Country 26,622410.5022910552,10.888705614235379,High
Scenario 171,Country 35,2128793.0699171633,5.306157291673486,High
Scenario 172,Country 1,1157031.4535145052,24.005238623990767,High
Scenario 173,Country 34,2036681.0311225401,24.652191463003817,Low
Scenario 174,Country 4,3460770.4555724724,9.568266751361474,Low
Scenario 175,Country 7,4723747.114996349,15.621457316982676,Medium
Scenario 176,Country 2,1606944.4790317132,24.34558324028995,Medium
Scenario 177,Country 50,2446212.7719650455,10.073644193808635,High
Scenario 178,Country 32,1249308.7418645942,6.08294395207589,Medium
Scenario 179,Country 42,755906.9194807338,9.270075161870608,High
Scenario 180,Country 1,2942519.066913752,20.399300254986958,Medium
Scenario 181,Country 30,1073259.748468012,6.329623310597556,High
Scenario 182,Country 28,589401.0945484932,9.858912969573353,Low
Scenario 183,Country 3,1278312.5839478355,6.978065256539527,Medium
Scenario 184,Country 44,3478908.024783034,15.643623866472026,Medium
Scenario 185,Country 13,2878394.9884057655,12.665745641348185,Low
Scenario 186,Country 2,2200448.324538919,11.715640514172609,Medium
Scenario 187,Country 2,4183179.36755922,10.21308131251438,Low
Scenario 188,Country 8,1556739.5109209386,10.071133923386757,Medium
Scenario 189,Country 32,583605.9347309386,19.24140375867729,Medium
Scenario 190,Country 6,1150250.1251891972,8.180243679810397,Low
Scenario 191,Country 42,1208701.5256970692,11.53344345578628,Medium
Scenario 192,Country 38,1903494.7290586948,5.421804899635873,High
Scenario 193,Country 20,939472.0342286103,10.06869557723758,High
Scenario 194,Country 14,2818042.5782874282,5.864990427046912,Low
Scenario 195,Country 44,1582938.0172520098,23.879635420953896,Medium
Scenario 196,Country 16,2927208.404798017,10.229983808182988,Low
Scenario 197,Country 33,2351849.6470604474,12.63735422596974,Low
Scenario 198,Country 50,1009276.2970021369,15.717744897410048,High
Scenario 199,Country 13,867597.41396402,9.067421131622408,Medium
Scenario 200,Country 10,1596523.2414910947,10.342436259129475,Low
Scenario 201,Country 40,1145939.3840540631,23.680698748550732,Medium
Scenario 202,Country 25,4561314.476007469,16.147997540177034,High
Scenario 203,Country 15,2226951.8176691807,16.345885429386986,Low
Scenario 204,Country 18,3102841.5617168653,23.34219697980984,Low
Scenario 205,Country 40,1383611.9507130682,5.758148017690326,High
Scenario 206,Country 25,116606.5008733193,16.904035762597267,High
Scenario 207,Country 7,4281461.898788428,9.24727533973192,High
Scenario 208,Country 45,2971163.830441227,14.471975527920373,Low
Scenario 209,Country 42,4108116.522509959,6.249871498258097,Low
Scenario 210,Country 9,2345052.302523935,5.628819952859252,Low
Scenario 211,Country 48,879690.6047676188,11.405480233721121,Low
Scenario 212,Country 21,2795227.6702013533,18.161291332707336,High
Scenario 213,Country 40,1238348.3112702982,17.070193589751554,Low
Scenario 214,Country 19,2395042.1880805646,20.6853815630052,High
Scenario 215,Country 17,4448671.255073723,9.037499814909577,Medium
Scenario 216,Country 8,2724744.6068906407,5.991772793244381,Low
Scenario 217,Country 10,873638.1829128443,10.113327547410249,Low
Scenario 218,Country 32,3225630.868341598,11.976109659248692,High
Scenario 219,Country 6,4189325.8501588064,15.199089385501177,High
Scenario 220,Country 22,2323104.171319208,17.326836376712702,High
Scenario 221,Country 31,4803799.259307354,7.10185329914419,Low
Scenario 222,Country 16,3712317.0288663716,10.480725300161833,Medium
Scenario 223,Country 25,1004218.2601189263,5.243041869451619,High
Scenario 224,Country 22,1368113.0454926533,17.949642802703167,Medium
Scenario 225,Country 19,1462174.8586980898,11.125470134325443,Low
Scenario 226,Country 35,4723500.480202383,15.73083303573387,Medium
Scenario 227,Country 32,3124607.4191661878,18.177008047471,Low
Scenario 228,Country 36,4891277.639819607,17.42355623033491,High
Scenario 229,Country 19,1684214.4520013244,8.787322007051412,Low
Scenario 230,Country 23,207747.78134318106,20.321961087278726,Medium
Scenario 231,Country 8,4272788.720504528,23.645063584653407,Low
Scenario 232,Country 34,3929127.711232162,15.92278937155644,High
Scenario 233,Country 30,2482018.7621268174,13.674083398380857,Medium
Scenario 234,Country 39,3767835.9384673424,24.07784755574696,Low
Scenario 235,Country 17,4575143.355909251,10.230840157036516,Low
Scenario 236,Country 21,4089162.495395402,15.88448936670649,High
Scenario 237,Country 45,3637357.6861197837,8.961230698761643,Medium
Scenario 238,Country 50,1336401.9719278216,14.64518575557995,High
Scenario 239,Country 9,3307626.1218922054,15.864078605787133,Medium
Scenario 240,Country 37,1005549.6514583359,10.121518378047558,Low
Scenario 241,Country 29,748024.6225165804,13.747768789593904,Low
Scenario 242,Country 16,2137729.1470118184,10.982744806685972,Low
Scenario 243,Country 19,1166716.6528173569,13.977404337062818,Medium
Scenario 244,Country 24,1614317.6684649796,11.61575598720499,High
Scenario 245,Country 29,4711231.575028418,15.521855378696676,High
Scenario 246,Country 41,764895.420128632,7.459635665313382,High
Scenario 247,Country 11,3051358.200655298,9.8211215652628,Medium
Scenario 248,Country 3,1632059.736084795,24.619150092507518,High
Scenario 249,Country 20,3345657.473886588,19.69878538368249,High
Scenario 250,Country 50,808634.8780002746,21.025303743506175,Medium
Scenario 251,Country 20,3077057.1378038563,12.410222786418421,Low
Scenario 252,Country 2,3484053.0822791425,18.12610251596982,Low
Scenario 253,Country 50,511781.85227718204,14.805827892269612,High
Scenario 254,Country 43,4312985.852296024,13.13641635257115,Medium
Scenario 255,Country 9,2570102.7887944947,10.8780753696224,Medium
Scenario 256,Country 34,3846870.0808272115,12.222116805384882,Low
Scenario 257,Country 24,1403747.3181824377,16.88072438435762,Medium
Scenario 258,Country 43,144259.57225179343,21.683749318590788,Medium
Scenario 259,Country 18,1691030.2853930593,12.465268238927704,Low
Scenario 260,Country 2,4447927.168596537,23.341918388706777,Low
Scenario 261,Country 19,218933.78992855712,12.649863275558207,Medium
Scenario 262,Country 47,4984496.359954221,20.187748151095295,Medium
Scenario 263,Country 13,4893004.208411525,11.198065738694815,Low
Scenario 264,Country 31,1645674.95669813,12.550225855707144,Low
Scenario 265,Country 20,1064956.616425558,7.431317961013606,Low
Scenario 266,Country 13,1241781.8809000375,18.083131007462466,Low
Scenario 267,Country 32,4928514.310311748,24.652902955208802,Low
Scenario 268,Country 26,553646.0100530183,7.289859685493547,Low
Scenario 269,Country 50,3009513.2232961296,21.00072901696184,High
Scenario 270,Country 13,953025.8302853926,13.092544309666355,Low
Scenario 271,Country 23,1616050.7672708984,19.99532762029279,High
Scenario 272,Country 36,3270202.035307918,17.904875102522773,Medium
Scenario 273,Country 14,2899781.8277851823,12.964548408478167,High
Scenario 274,Country 37,4150295.523899901,19.24887246034583,High
Scenario 275,Country 40,4670969.513656459,17.21195256580227,Medium
Scenario 276,Country 34,652784.5575830402,15.579877946732921,High
Scenario 277,Country 50,1349419.2430761405,5.736563660893466,Low
Scenario 278,Country 13,4513598.736925941,8.067502663067437,Medium
Scenario 279,Country 20,4643622.168369439,20.15675703674154,High
Scenario 280,Country 14,2224581.2554922956,17.745312107807557,High
Scenario 281,Country 43,3156218.101863181,17.587928169662774,Medium
Scenario 282,Country 33,1806084.7697437773,6.739697123077512,High
Scenario 283,Country 33,4278524.957917666,12.506001814278964,Low
Scenario 284,Country 34,3930679.430333934,11.633594104835176,High
Scenario 285,Country 35,2283924.187703996,18.957254484839613,High
Scenario 286,Country 42,2496800.0351316137,23.328841091866742,High
Scenario 287,Country 33,997492.8056755482,9.191083917173938,Medium
Scenario 288,Country 43,1076033.434192202,18.556769767197675,Medium
Scenario 289,Country 28,712094.0073391884,22.756432465279236,High
Scenario 290,Country 10,4538177.478912606,14.753472746527219,Low
Scenario 291,Country 2,724222.1959948787,12.615527508695148,Low
Scenario 292,Country 47,4620360.972817502,11.92220784763743,Medium
Scenario 293,Country 29,3406295.8523395304,5.369595727816137,High
Scenario 294,Country 35,4526092.111248391,21.440028579897497,Low
Scenario 295,Country 16,174458.00492823112,22.86661646370111,High
Scenario 296,Country 32,3677426.5017702654,11.418649737370272,Medium
Scenario 297,Country 21,3209228.057357768,6.7112220436948355,Low
Scenario 298,Country 39,2226222.2709592613,8.776294127854548,High
Scenario 299,Country 17,3842583.9987363284,17.812643103134334,Medium
Scenario 300,Country 37,2497881.8646906787,21.82821131861679,High
Scenario 301,Country 33,3345904.535157665,20.008521576390063,Medium
Scenario 302,Country 49,2840791.070480632,9.627909605753961,High
Scenario 303,Country 42,2858920.8415607926,23.118186755989896,Low
Scenario 304,Country 30,668167.9227539079,23.852447801332904,Low
Scenario 305,Country 30,3936114.492721419,5.63045608161838,High
Scenario 306,Country 20,3520485.22243768,12.429890482398163,High
Scenario 307,Country 25,3649927.33545817,23.86185311620751,High
Scenario 308,Country 27,4350874.390381871,11.392844797732383,High
Scenario 309,Country 13,1581928.075789855,19.216464212949276,High
Scenario 310,Country 3,351828.28333701333,11.829362204598839,Medium
Scenario 311,Country 7,1448671.8396026655,15.54602900583695,High
Scenario 312,Country 1,1515599.6759267044,14.796018388258247,Medium
Scenario 313,Country 8,4092390.789603165,22.12896795382601,High
Scenario 314,Country 12,1332198.56765769,12.423409948093365,High
Scenario 315,Country 6,3115149.443733626,24.575619797248386,Medium
Scenario 316,Country 50,373814.12768125045,13.341683962952732,Medium
Scenario 317,Country 7,4911261.69932767,11.287475507686011,High
Scenario 318,Country 20,4907318.207595701,18.997857669677835,Medium
Scenario 319,Country 49,659819.6200590667,6.984294689250163,High
Scenario 320,Country 36,620948.641638323,23.00011976301915,Low
Scenario 321,Country 7,3722130.119715678,23.754619724555468,Medium
Scenario 322,Country 1,2445828.9086801857,8.899297247242306,High
Scenario 323,Country 13,137839.55157556804,12.691020087444876,Medium
Scenario 324,Country 21,4276224.821130296,12.599886240879993,Medium
Scenario 325,Country 24,2602449.977478008,11.278677938437054,Medium
Scenario 326,Country 42,579674.5091651743,9.118404731798053,Low
Scenario 327,Country 2,4592651.546862982,10.508854879813228,Low
Scenario 328,Country 25,1711611.9914515386,23.793199132872616,Medium
Scenario 329,Country 9,1697260.8647572945,8.203717374453959,Low
Scenario 330,Country 17,2101810.9968550066,5.998779274992952,High
Scenario 331,Country 41,1083564.655214735,8.790688635458949,Medium
Scenario 332,Country 2,3324004.106596174,20.159092997884386,High
Scenario 333,Country 25,3457378.0605981145,13.739940927358285,Low
Scenario 334,Country 9,1327517.1212594325,7.748990529937803,Medium
Scenario 335,Country 11,4944055.122355567,16.90008630009521,Medium
Scenario 336,Country 49,3805389.4273830974,7.910105238196337,Low
Scenario 337,Country 16,259291.30354960877,5.999446406040425,Medium
Scenario 338,Country 11,4176953.3902281127,18.490624642392863,High
Scenario 339,Country 30,4477971.9432026865,24.217024204744725,Medium
Scenario 340,Country 3,304801.9666253163,6.891318451141604,High
Scenario 341,Country 6,399729.03571968846,6.532732164511826,High
Scenario 342,Country 24,1690777.1697237494,15.953302897525788,Medium
Scenario 343,Country 13,4864973.672866362,9.442912210014525,Low
Scenario 344,Country 25,3941694.3718148572,24.266801463167212,Low
Scenario 345,Country 40,4217804.421042829,8.435649744039292,Medium
Scenario 346,Country 24,1715669.629110717,11.72425538852885,High
Scenario 347,Country 32,4791901.371808735,10.107515144860535,High
Scenario 348,Country 44,3347584.3074242673,21.87442370714612,High
Scenario 349,Country 45,3816765.8533678814,5.914818254293586,High
Scenario 350,Country 38,2779894.7859274987,16.951276759374917,Medium
Scenario 351,Country 49,2273343.113376898,22.55739840569319,High
Scenario 352,Country 17,642898.5487305161,9.540003486515012,Medium
Scenario 353,Country 26,4171913.012351921,17.95871272987109,Medium
Scenario 354,Country 49,4161888.0962812793,24.900969306909094,Medium
Scenario 355,Country 10,2932017.7048641336,17.566616830365906,Medium
Scenario 356,Country 16,2202971.83594918,10.84776831381257,Low
Scenario 357,Country 4,4031656.1945595243,17.463747979702482,Medium
Scenario 358,Country 36,261595.4020778054,19.417123970333236,Low
Scenario 359,Country 38,4233899.945306109,16.339848769918245,High
Scenario 360,Country 48,3063121.1299272534,6.285061554999571,Medium
Scenario 361,Country 7,2498004.6584178293,16.239094835721097,Medium
Scenario 362,Country 23,4436782.143208058,10.073605913072186,Medium
Scenario 363,Country 16,2248756.1071481328,10.956882636686501,Medium
Scenario 364,Country 2,4672824.090541773,5.017444882726783,Low
Scenario 365,Country 46,1408669.2150543218,15.16037869601477,Medium
Scenario 366,Country 6,2938608.123415831,14.397651616057667,High
Scenario 367,Country 10,2433763.288053125,21.917373696416156,Low
Scenario 368,Country 35,3609767.3102932028,17.54259912069636,Medium
Scenario 369,Country 49,1096744.522214802,11.178539730962417,High
Scenario 370,Country 41,3627257.5842550993,8.610280193765213,High
Scenario 371,Country 34,1323935.5793385527,19.360605457783006,Low
Scenario 372,Country 4,2910944.4485401213,9.240462287531699,Low
Scenario 373,Country 50,960182.8083442833,23.193776597889197,High
Scenario 374,Country 42,3136073.7230026913,18.61227676102392,High
Scenario 375,Country 17,488526.29405786993,21.649060516847214,High
Scenario 376,Country 26,3055109.6970226653,8.521164963006083,Medium
Scenario 377,Country 47,4607243.744580648,15.181213368633896,Low
Scenario 378,Country 10,223588.4959671417,17.098995134456835,High
Scenario 379,Country 4,3366713.398120582,8.302544281725643,High
Scenario 380,Country 21,3225775.5340254796,10.454286789895429,Medium
Scenario 381,Country 13,3562965.5869104224,17.29845757619786,Medium
Scenario 382,Country 29,3112791.099468067,7.703194250901957,Medium
Scenario 383,Country 6,1664746.4675364352,16.373001718479543,Low
Scenario 384,Country 7,2239853.029433986,23.002223809191022,High
Scenario 385,Country 29,2267999.4471097016,18.072925801751577,Medium
Scenario 386,Country 49,1580569.523027247,22.891243635254675,High
Scenario 387,Country 12,1263101.3245541104,18.255240988930854,Medium
Scenario 388,Country 12,1360920.8924611316,18.210206860078827,Low
Scenario 389,Country 6,4428115.480741507,19.01349244101423,Low
Scenario 390,Country 43,3812220.20382352,10.69229134915319,High
Scenario 391,Country 43,1186275.7256395181,10.777292124283445,Medium
Scenario 392,Country 8,2758511.5364152156,16.786248745189283,High
Scenario 393,Country 27,2224510.230115711,22.182408500505776,Medium
Scenario 394,Country 50,2046228.7181230916,14.26426586525993,Medium
Scenario 395,Country 17,3652055.1031618514,15.29768969753032,High
Scenario 396,Country 7,1561366.4334459747,23.21542394081231,High
Scenario 397,Country 30,125076.07899576824,5.600757591764771,High
Scenario 398,Country 43,4215216.552420391,18.798640097045944,High
Scenario 399,Country 28,1355454.1613055903,11.292613418706257,High
Scenario 400,Country 15,2037899.1175544779,12.4601533565667,High
Scenario 401,Country 24,3101255.450970887,23.587033751880444,High
Scenario 402,Country 33,938592.0357938987,9.466342744018469,Medium
Scenario 403,Country 39,3803250.899085661,12.403811615569463,Low
Scenario 404,Country 33,3526936.6698700967,20.34213652472993,High
Scenario 405,Country 3,156342.07689247458,15.334294140971,Medium
Scenario 406,Country 22,2989854.227056763,6.894397042638765,Medium
Scenario 407,Country 30,2907108.9773972025,12.256747721732857,Medium
Scenario 408,Country 33,696527.2053202727,18.80180368365496,Low
Scenario 409,Country 50,4428472.991137427,11.198695561530744,Medium
Scenario 410,Country 26,2748550.466527346,16.78120498452886,Medium
Scenario 411,Country 40,1684047.9199140586,17.554534342650836,High
Scenario 412,Country 34,2661520.338398401,7.176306148162155,High
Scenario 413,Country 42,1976970.6426429667,11.333968359635628,Medium
Scenario 414,Country 7,158949.72521653847,11.457463524489448,High
Scenario 415,Country 39,2211674.1856051106,12.506795721797177,High
Scenario 416,Country 19,1021677.2968093466,11.01238591466653,High
Scenario 417,Country 7,3207134.9094196763,7.3226266720540885,Low
Scenario 418,Country 13,2180265.671966886,15.157351644132413,Medium
Scenario 419,Country 16,519717.53144961945,10.850524112344406,Medium
Scenario 420,Country 47,3224332.290227876,7.814350621600143,Medium
Scenario 421,Country 20,1751943.838068584,15.180891542619996,High
Scenario 422,Country 47,3732959.132553342,17.364502210877838,High
Scenario 423,Country 28,801089.9700294591,22.284367860685165,Low
Scenario 424,Country 13,2147345.019852209,10.013826458945037,Medium
Scenario 425,Country 32,2133053.1495161504,7.370044671333091,Medium
Scenario 426,Country 46,434882.6015071974,5.094335848166372,High
Scenario 427,Country 45,4314962.030649998,19.275508768579165,Medium
Scenario 428,Country 6,524527.6456583948,21.169243528713814,Low
Scenario 429,Country 46,4580110.597476604,13.773522227311108,Low
Scenario 430,Country 10,1916760.3933222336,10.036928918373915,Medium
Scenario 431,Country 15,3399695.8478468503,8.175085532593108,Medium
Scenario 432,Country 43,2314259.6027127476,24.084313478085846,High
Scenario 433,Country 17,3482644.426702606,13.417076112984262,Medium
Scenario 434,Country 39,4509776.49542804,17.93631939731396,Low
Scenario 435,Country 11,215041.21720104772,20.72392227001846,Medium
Scenario 436,Country 4,3019648.2083416716,19.613774975063592,Medium
Scenario 437,Country 12,3684409.0347685833,19.3656120040403,Low
Scenario 438,Country 26,4801640.696674266,17.247487217978517,Medium
Scenario 439,Country 4,1056794.6422973117,10.83075449133037,High
Scenario 440,Country 16,3063977.2393387603,24.019239492968126,Low
Scenario 441,Country 20,104265.29858598136,13.7447391696181,High
Scenario 442,Country 6,3864189.3861094667,13.199812370490333,Medium
Scenario 443,Country 36,2982821.5960946716,24.2628020606713,High
