Country,Risk_Type,Risk_Level,Impact_Score
Country 9,Environmental,High,4.347520580650361
Country 20,Regulatory,Medium,1.2775269648264156
Country 43,Economic,Low,3.284640015389417
Country 27,Social,Medium,2.364714179873389
Country 18,Political,Medium,4.882268829549329
Country 45,Environmental,Medium,4.256909681837417
Country 25,Political,Medium,3.3444180908621983
Country 38,Regulatory,Medium,4.902085095849628
Country 17,Regulatory,High,4.027109136569425
Country 40,Social,High,2.0033684931876916
Country 44,Economic,Medium,4.217936767067739
Country 41,Environmental,High,3.8241693484893085
Country 17,Political,High,3.476781304005887
Country 46,Regulatory,High,2.6445278659410323
Country 49,Social,Low,4.666200132221727
Country 29,Regulatory,Medium,2.85005254488984
Country 28,Environmental,Medium,2.2353597976114155
Country 50,Economic,Medium,2.588201579815916
Country 28,Environmental,Low,2.9684806968210045
Country 33,Social,Low,2.4566802824090543
Country 18,Regulatory,Low,3.7291725151247936
Country 43,Economic,High,2.6626632378230117
Country 18,Regulatory,Low,1.2882084129286122
Country 30,Social,High,4.641463607798237
Country 35,Economic,Low,2.041696454610781
Country 2,Regulatory,Medium,3.680204543391864
Country 18,Economic,Medium,4.937148494155098
Country 49,Social,High,2.1329925555344738
Country 17,Social,High,4.6092195750682645
Country 38,Economic,Low,3.7930810650775486
Country 44,Environmental,Medium,1.8297156476540648
Country 18,Political,High,4.733760198856144
Country 12,Political,Low,3.141261483707944
Country 23,Regulatory,Medium,4.070953898335073
Country 25,Social,Low,2.7098835587210997
Country 49,Political,Low,2.0622413151530377
Country 37,Regulatory,Medium,2.079042018795363
Country 33,Political,Medium,4.6129165690954235
Country 22,Social,Low,3.4328283506299493
Country 3,Environmental,High,4.351157635446716
Country 37,Regulatory,Medium,4.208316121441718
Country 7,Political,High,1.5118743491912072
Country 45,Environmental,Low,4.730278366542855
Country 20,Economic,High,2.5876670072376267
Country 33,Social,Low,2.5978228066137734
Country 49,Political,High,1.4895922346341073
Country 36,Environmental,High,2.6273456328052465
Country 6,Political,High,4.598285683468321
Country 43,Political,Medium,2.8421665389301105
Country 17,Environmental,Medium,1.6724993489185582
Country 30,Political,High,3.367226337196781
Country 32,Economic,Medium,2.44165503285244
Country 13,Environmental,High,1.8038866124380726
Country 42,Economic,Low,3.7156936735470087
Country 25,Social,Low,3.985450477362248
Country 48,Economic,High,4.178258549920571
Country 29,Environmental,Medium,1.1904552159821602
Country 38,Regulatory,Medium,1.050092093106207
Country 17,Social,High,2.3337280773005795
Country 13,Political,High,1.6480599043180484
Country 31,Regulatory,Medium,2.7703050815688557
Country 23,Regulatory,Low,2.9639538931118103
Country 14,Political,Medium,3.3663683543272747
Country 11,Regulatory,Medium,3.4652823271898385
Country 29,Regulatory,Medium,1.6534436540301463
Country 19,Social,High,1.1712773971948
Country 25,Political,Medium,4.413887540131128
Country 14,Economic,Medium,2.660958721368475
Country 27,Political,Low,2.300386481801578
Country 14,Economic,Low,1.364740307057147
Country 10,Regulatory,Low,1.6570017628434015
Country 14,Social,High,2.2859101633609056
Country 20,Social,Low,4.515001607556938
Country 32,Environmental,Low,4.339778097854944
Country 32,Regulatory,Low,1.3003024883490046
Country 29,Political,High,4.902810072030439
Country 18,Environmental,Medium,4.63508270523886
Country 36,Political,Low,3.4782758280175443
Country 46,Environmental,Low,2.8329181724360577
Country 3,Political,Low,2.67373121143466
Country 45,Regulatory,Medium,3.974540825305261
Country 42,Regulatory,Low,3.6758849069802513
Country 11,Social,Low,3.8067181349834254
Country 50,Environmental,Low,2.5604265061410754
Country 44,Environmental,Low,3.944315282680512
Country 33,Social,High,3.2297475151326243
Country 37,Political,Medium,3.9089358169456343
Country 12,Political,Medium,1.6247725700268028
Country 42,Environmental,Low,3.8958847640095824
Country 15,Environmental,Low,2.5152074832624103
Country 28,Social,Medium,2.8106783494624197
Country 48,Environmental,Low,4.132051916904857
Country 9,Economic,Medium,2.3764862313685127
Country 28,Political,High,2.049376163121742
Country 49,Political,Low,1.5054174785734933
Country 16,Economic,Medium,3.203637995380563
Country 16,Environmental,Medium,2.777077560541886
Country 35,Environmental,High,2.818080300663794
Country 41,Political,Low,1.5620047792510223
Country 5,Economic,High,3.1449981651886567
Country 13,Political,Medium,1.0876294462489402
Country 14,Environmental,Low,2.5209553360623476
Country 28,Social,High,1.9412720652137332
Country 12,Environmental,Medium,1.808156901837128
Country 22,Social,High,4.772153255181023
Country 36,Economic,Low,1.994947926418149
Country 30,Political,Medium,4.688804920313298
Country 24,Social,High,2.4358502286237167
Country 20,Regulatory,High,2.284599873147027
Country 32,Political,Medium,4.845644995905788
Country 10,Social,Medium,1.9487123871093321
Country 21,Regulatory,Medium,4.270046886300792
Country 45,Regulatory,Low,1.3679057153507417
Country 14,Social,Medium,4.141462112322724
Country 40,Regulatory,Medium,4.962205075120229
Country 18,Economic,High,4.308491551846334
Country 16,Regulatory,Medium,2.8023440598155345
Country 48,Political,High,3.265559271761665
Country 17,Social,High,1.3295362243955258
Country 24,Regulatory,Medium,1.9935576082950401
Country 45,Social,Medium,4.916250624267999
Country 32,Economic,High,1.9623129987705559
Country 14,Economic,Medium,4.164268539149177
Country 43,Social,Low,4.208231407216449
Country 13,Economic,Medium,1.8927287814317415
Country 39,Political,Low,1.7973709121810906
Country 45,Economic,Medium,3.3717048993842593
Country 40,Social,Low,2.4330176867982964
Country 24,Political,Low,1.1273475480111803
Country 6,Political,Medium,4.561946966056119
Country 35,Social,Medium,3.758246582785289
Country 43,Economic,Low,2.691472986526737
Country 33,Economic,Low,3.116208145306576
Country 42,Regulatory,Low,1.290666620417504
Country 3,Political,Medium,1.4836255296047276
Country 39,Political,High,1.0378810290752112
Country 15,Social,Low,4.45851967711174
Country 10,Regulatory,High,3.885529008522083
Country 24,Environmental,Low,3.17423253248351
Country 27,Social,Low,4.384530476407754
Country 41,Political,High,1.8071489402252348
Country 29,Environmental,Medium,1.3408988689334502
Country 10,Social,Low,4.314904402835724
Country 26,Regulatory,Low,2.8518076113072697
Country 35,Economic,High,2.989058074493076
Country 49,Economic,High,1.1605321951943477
Country 24,Economic,Low,3.10982565067484
Country 14,Regulatory,Medium,1.577302558531895
Country 21,Environmental,High,3.594800267293674
Country 11,Regulatory,Low,2.763843538642441
Country 32,Economic,Medium,2.0644025950845775
Country 9,Economic,High,1.984141395269564
Country 35,Regulatory,Low,2.78541132639267
Country 14,Political,Low,3.456707085037741
Country 7,Political,Medium,2.536872410333357
Country 47,Environmental,Low,2.1502119992686795
Country 8,Environmental,Low,1.563171463516431
Country 36,Political,High,4.738450290007402
Country 20,Regulatory,High,4.494174813830278
Country 4,Social,High,4.916880915356719
Country 2,Economic,Medium,2.435029081524064
Country 35,Environmental,Medium,2.9859998417049325
Country 39,Political,High,3.990991435070617
Country 33,Social,Low,4.681378044148933
Country 37,Political,High,2.719063807187976
Country 27,Political,Low,2.8193113514657697
Country 21,Environmental,Low,2.2450669329593334
Country 29,Environmental,Low,4.1447216408593235
Country 32,Environmental,Low,4.31115381957433
Country 3,Regulatory,Low,1.0041733351059419
Country 38,Economic,Low,4.576997918213591
Country 9,Environmental,Medium,2.611666824550908
Country 46,Political,High,4.652191967181592
Country 45,Regulatory,Medium,2.4243562423511147
Country 21,Environmental,Medium,4.834591152875049
Country 39,Environmental,Medium,2.5281315489541947
Country 12,Political,High,1.5995451166916812
Country 9,Economic,Low,2.266839466651351
Country 1,Political,Low,3.668956009307107
Country 42,Social,Medium,2.895002438608338
Country 38,Economic,Low,1.9435282640735174
Country 31,Economic,High,4.929798156584039
Country 42,Regulatory,High,1.5524438075323057
Country 47,Economic,High,1.955610532936186
Country 13,Economic,Medium,3.2799839320845776
Country 24,Economic,High,3.9092804254408904
Country 19,Regulatory,Low,4.963869909780291
Country 44,Social,High,4.352377853444857
Country 43,Social,Medium,3.9677767660769443
Country 11,Economic,Low,4.018952531976097
Country 32,Economic,Low,2.363381328745587
Country 45,Regulatory,Medium,4.898350464505475
Country 46,Social,High,3.666186717888349
Country 34,Political,Medium,4.913917291418964
Country 3,Social,Low,2.8503859344032905
Country 13,Regulatory,High,3.850739151981949
Country 23,Regulatory,Low,1.320412364590712
Country 31,Political,Medium,2.0726206656717667
Country 8,Regulatory,High,2.8597739581565804
Country 40,Political,Medium,2.790480293972461
Country 34,Economic,Low,4.1944196289994595
Country 9,Regulatory,Medium,4.351236017647721
Country 7,Social,High,4.6681653996433425
Country 38,Economic,High,2.2391925045298957
Country 39,Environmental,Medium,3.218811104516114
Country 49,Economic,Medium,2.3997925107672833
Country 40,Social,Medium,2.368108390915428
Country 10,Social,Medium,2.2575922126861196
Country 35,Environmental,Low,3.5235149678710944
Country 8,Social,Low,3.839667497220455
Country 36,Environmental,Low,3.52112229470595
Country 5,Environmental,High,1.5518601523253386
Country 28,Environmental,Low,4.697991894542218
Country 11,Environmental,High,1.5687820983375609
Country 12,Environmental,High,4.213360131879316
Country 24,Economic,Low,3.7025066133099642
Country 9,Environmental,High,2.159452722720548
Country 38,Political,Low,2.660749267608156
Country 1,Regulatory,Low,4.2793149684628045
Country 2,Regulatory,Medium,3.9305540947355673
Country 32,Regulatory,Low,3.2457922342695418
Country 16,Economic,High,4.616673861972897
Country 7,Economic,Medium,3.925146628956135
Country 19,Regulatory,Medium,3.876537544786385
Country 6,Social,High,2.865864727517006
Country 22,Social,High,3.6186949796003955
Country 11,Regulatory,Medium,1.7281310427892698
Country 32,Regulatory,Medium,4.055463573231153
Country 4,Political,Low,1.3880690453149276
Country 8,Social,Low,2.7800167130603337
Country 50,Social,Low,2.0221053102108453
Country 49,Social,Low,3.336412069617066
Country 15,Social,High,3.8260852368411045
Country 30,Regulatory,Low,1.3074692401172836
Country 8,Economic,Low,1.395358200921371
Country 45,Political,High,4.3949082978200416
Country 15,Environmental,Low,1.7156541807324865
Country 43,Social,High,4.084131825254902
Country 25,Regulatory,Medium,2.711884801814393
Country 28,Environmental,Low,1.5448867773078154
Country 50,Regulatory,High,1.2376711618144136
Country 42,Political,Medium,3.90747203488565
Country 9,Regulatory,High,1.6591202201481665
Country 29,Political,Medium,2.3590652250017237
Country 10,Regulatory,Low,1.7056683717854964
Country 2,Political,Medium,4.969294324911803
Country 24,Political,Low,3.4714651215451373
Country 34,Economic,Medium,1.2850111112504248
Country 18,Economic,High,4.028789847137505
Country 38,Economic,High,2.6482603424377884
Country 5,Environmental,Medium,1.4325274960634666
Country 43,Economic,Low,2.030292864691203
Country 42,Social,Medium,3.7552277337538515
Country 50,Economic,High,4.46711245649529
Country 42,Economic,Low,4.682471241808667
Country 32,Social,High,4.113248659105253
Country 42,Political,High,2.2234719673088956
Country 26,Social,Low,3.8209974630167958
Country 8,Environmental,High,1.5384094612931096
Country 48,Environmental,Low,4.497950162232549
Country 33,Political,Medium,3.310603753823365
Country 1,Social,Low,4.629258501588174
Country 13,Economic,Low,3.0314518371854486
Country 34,Environmental,High,2.639105054455674
Country 28,Social,Medium,4.536921079360365
Country 46,Environmental,Medium,1.8007322496413867
Country 43,Environmental,Medium,2.7354170706763687
Country 12,Environmental,High,1.1420450470064911
Country 8,Regulatory,Low,4.954268747405136
Country 4,Political,Low,3.9311868643933767
Country 30,Social,High,3.981957773358959
Country 47,Political,Medium,2.741800167859918
Country 20,Social,High,3.768540501106235
Country 21,Economic,Medium,3.0877040037540113
Country 15,Social,Medium,3.13095870335919
Country 28,Social,Low,3.917801144293227
Country 50,Political,Low,3.494404165857118
Country 13,Environmental,Low,4.4191270668244815
Country 8,Environmental,Low,3.547298293302848
Country 33,Political,High,3.250234860159914
Country 40,Social,High,2.149160124907398
Country 10,Environmental,High,1.9097780003359563
Country 27,Environmental,High,2.124673995016192
Country 41,Environmental,Medium,2.9987149116686243
Country 20,Regulatory,High,1.2789145515863947
Country 8,Social,High,3.550967320266985
Country 12,Environmental,Medium,4.966847658732403
Country 32,Economic,Medium,3.1494226389562536
Country 15,Economic,High,1.6669113811126186
Country 16,Environmental,Medium,4.341626627235643
Country 22,Political,Low,1.856610290961397
Country 19,Social,Medium,4.238892308779496
Country 5,Political,High,4.005110178236915
Country 41,Political,High,4.2567325072787225
Country 9,Social,High,1.7559004911343847
Country 35,Social,Medium,2.8113051335973163
Country 18,Regulatory,High,4.001772468681202
Country 35,Regulatory,Low,2.2839223704513105
Country 49,Economic,High,2.404293027822452
Country 24,Economic,High,3.369062700494689
Country 23,Political,High,4.436670384029156
Country 23,Social,Low,1.549696274019798
Country 45,Regulatory,Medium,3.3186486159929247
Country 39,Social,High,2.6345594513121444
Country 6,Political,Low,3.627153421092629
Country 33,Political,Low,3.1991196767509003
Country 39,Regulatory,High,4.5566942545989715
Country 49,Regulatory,High,4.0541427852279845
Country 32,Regulatory,Low,3.291704943354437
Country 42,Economic,Medium,4.565425336600625
Country 32,Regulatory,Medium,3.1802828414409783
Country 44,Environmental,High,3.625045607091957
Country 22,Economic,Low,4.790260987866226
Country 10,Economic,Low,2.8613132093585953
Country 33,Environmental,Low,1.916755655478219
Country 27,Social,Medium,3.1148629856901766
Country 23,Environmental,Low,3.967826287281297
Country 45,Environmental,High,4.649308797742025
Country 12,Environmental,Low,1.6195680404991704
Country 24,Political,Low,2.838447793469931
Country 29,Environmental,High,2.6768480480101284
Country 48,Social,Low,4.555997352304601
Country 32,Social,Medium,3.9063237932704307
Country 50,Environmental,Medium,3.1925862244661443
Country 3,Social,Medium,1.0991974553107013
Country 46,Environmental,Medium,3.5514692290931222
Country 9,Environmental,High,3.740899124445143
Country 13,Social,Medium,4.191626055504973
Country 27,Political,Low,4.055418627182899
Country 27,Political,Low,1.5228071576766888
Country 32,Environmental,Medium,1.2048017936079476
Country 15,Economic,High,1.7610839764197572
Country 31,Regulatory,Low,1.5158290068003413
Country 30,Environmental,Low,3.71459372939327
Country 15,Political,Medium,3.617697642810046
Country 34,Social,Low,2.310421487506251
Country 23,Social,Medium,4.774711096225882
Country 46,Social,High,1.576047570740132
Country 30,Environmental,Medium,3.10489770760277
Country 45,Environmental,Low,3.1558093182817912
Country 28,Economic,Medium,1.7955138580542105
Country 30,Political,Medium,4.926450524330915
Country 8,Environmental,Low,3.654840226967378
Country 31,Environmental,High,2.196581082598062
Country 50,Environmental,Medium,4.135688920029287
Country 42,Economic,Low,4.739364783698803
Country 11,Economic,High,3.9915302035495253
Country 8,Political,Medium,3.4419344400822744
Country 3,Social,Low,2.0737963969511726
Country 17,Environmental,High,1.2687618547690125
Country 40,Regulatory,High,3.0085854283556523
Country 36,Political,High,1.0738901903596618
Country 6,Economic,High,1.8517501937909606
Country 21,Political,Medium,2.101045383160116
Country 24,Political,High,4.944970102325218
Country 17,Environmental,High,1.6438701709494112
Country 22,Regulatory,Medium,2.277269370538336
Country 37,Economic,High,2.755629011765721
Country 15,Regulatory,Low,2.7161496942674934
Country 27,Regulatory,Medium,1.6585967143532403
Country 9,Political,Low,2.621697910856053
Country 36,Political,High,3.5162326969710835
Country 26,Political,Medium,2.8373908728873327
Country 7,Economic,Low,2.7279010729257354
Country 16,Social,Low,4.35083003712685
Country 31,Environmental,Low,1.819481730570768
Country 35,Regulatory,Medium,4.261961733387787
Country 3,Economic,Medium,3.9517775044611883
Country 48,Social,Medium,1.1445090471122148
Country 9,Environmental,Medium,4.225040753384107
Country 12,Environmental,High,4.622365640565107
Country 14,Social,Low,4.412769288642071
Country 6,Environmental,High,3.033721994021138
Country 35,Political,Low,4.046738720004667
Country 31,Political,Low,4.260654623476347
Country 21,Social,Medium,2.094835523885729
Country 12,Economic,High,1.115522740599149
Country 44,Regulatory,Low,3.099386720290896
Country 3,Social,Low,4.614579862374734
Country 35,Economic,Low,4.98113274284342
Country 7,Political,Medium,4.439613975538331
Country 4,Regulatory,Low,2.161373638833525
Country 35,Environmental,Low,2.1220236566166393
Country 36,Environmental,High,4.568756060907671
Country 30,Political,Low,4.955677220934037
Country 25,Political,Low,4.347891057489742
Country 32,Social,High,2.581512641448496
Country 37,Social,Medium,4.726109019656933
Country 49,Regulatory,High,4.625220374387524
Country 30,Economic,High,2.5142308133360958
Country 21,Regulatory,Low,4.977402854420473
Country 44,Political,High,4.101807952474688
Country 37,Environmental,Low,1.6851137150715942
Country 17,Economic,Medium,1.935430212350222
Country 32,Social,Low,4.533219311672648
Country 27,Social,High,4.2862265407741305
Country 27,Regulatory,Low,2.379064212516157
Country 49,Environmental,Low,4.001035807967581
Country 11,Regulatory,Medium,1.7050406799896662
Country 42,Political,Low,2.618722472464191
Country 1,Social,Low,4.497164927286828
Country 2,Social,Medium,1.942684701755221
Country 42,Environmental,Low,3.150995190042389
Country 12,Environmental,Medium,1.9449375412595673
Country 38,Economic,Low,1.8782128314439097
Country 28,Economic,Low,2.4783776778990565
Country 5,Regulatory,High,3.4549873508014017
Country 1,Political,Low,3.499625011974381
Country 20,Social,Low,1.678376978906286
Country 13,Environmental,Low,4.844924751968936
Country 37,Social,High,2.3986455119392818
Country 40,Social,Medium,2.4526888332058885
Country 3,Social,Medium,2.5578330292357934
Country 21,Social,Low,4.462061928801894
Country 39,Environmental,Medium,4.729450270629982
Country 3,Regulatory,Low,3.44895160788169
Country 42,Regulatory,Medium,2.079255505921845
Country 50,Regulatory,Medium,2.34760778998369
Country 40,Regulatory,Low,4.485327684304589
Country 45,Political,Medium,2.206238121978333
Country 7,Regulatory,Medium,3.415304637524529
Country 32,Social,Low,1.2261859508617547
Country 16,Political,High,4.5142456348317825
Country 46,Social,High,1.5231015352258033
Country 10,Political,Medium,3.384552682999925
Country 29,Economic,Medium,3.411784005476193
Country 7,Political,Low,4.285693282027921
Country 25,Regulatory,Medium,1.7218057168001022
Country 1,Economic,Medium,4.507760048213056
Country 18,Economic,Low,2.227356120584461
Country 6,Political,High,3.753716335490975
Country 39,Regulatory,High,1.4308627210323213
Country 38,Social,High,1.3546697597833326
Country 28,Political,Medium,2.7182968766915483
Country 9,Social,High,1.3712153138997194
Country 14,Economic,Medium,1.542325048588061
Country 36,Economic,Low,1.815176702474984
Country 47,Environmental,Low,4.2737327821421305
Country 1,Environmental,Medium,1.1279283586660935
Country 48,Political,Low,2.680741354959176
Country 23,Economic,Low,2.2550519431102782
Country 32,Political,High,3.433961651857111
Country 9,Social,Low,1.8139656219274163
Country 19,Political,Medium,4.275558301236318
Country 3,Environmental,Medium,1.182266019205933
Country 24,Social,High,4.6791643410060875
Country 15,Regulatory,Low,4.412311927438807
Country 33,Economic,High,4.646744110482731
Country 22,Social,High,3.9705828719970517
Country 26,Social,Medium,2.228801650669379
Country 15,Social,High,1.9198587981207589
Country 7,Political,High,3.9294798622184532
Country 50,Social,Low,2.9297806397400294
Country 49,Social,Medium,2.051869749005382
Country 3,Economic,Medium,4.148263915148478
Country 29,Economic,Low,1.121240472546531
Country 3,Environmental,Low,4.16742474206779
Country 12,Economic,Low,1.427284974672494
Country 26,Social,Medium,2.324341073547214
Country 36,Environmental,Medium,4.33866518066928
Country 27,Economic,Medium,3.884092372697961
Country 8,Environmental,Low,1.88142839215697
Country 12,Political,Medium,4.16726433089924
Country 9,Regulatory,Medium,3.287509137031446
Country 27,Social,High,4.561862794190652
Country 22,Regulatory,Low,2.986304641185244
Country 29,Political,Low,4.472696879452984
Country 20,Environmental,Low,3.5600216975937666
Country 26,Social,Low,4.672912964255083
Country 4,Environmental,High,3.474848229842132
Country 30,Political,Low,4.957140566567219
Country 14,Political,Low,2.3546659336613223
Country 27,Environmental,High,1.8927566323695628
Country 50,Political,Low,1.3641253363817296
Country 40,Regulatory,Medium,1.305643300903852
Country 28,Economic,Low,2.576918885943523
Country 23,Political,Medium,3.717554681665915
Country 38,Economic,Medium,2.882715743887488
Country 28,Political,High,4.207373385633713
Country 10,Economic,Low,2.912170672914466
Country 14,Social,High,2.903023065102467
Country 13,Social,Medium,4.2570607337251385
Country 27,Social,High,2.8648280449986254
Country 6,Political,Low,3.5622481922894034
Country 20,Social,Medium,2.3147162054373505
Country 28,Political,High,1.014638020499794
Country 25,Economic,Low,4.915087013561607
Country 14,Social,High,4.677709622697236
Country 37,Regulatory,Medium,1.8995859175958003
Country 15,Political,Low,4.017044863614208
Country 38,Environmental,High,2.4500116664863962
Country 46,Regulatory,Low,2.6711634789637033
Country 30,Economic,High,1.0386277130814152
Country 13,Social,Medium,3.874345074721329
Country 24,Environmental,Low,3.2863174106090285
Country 3,Social,Medium,4.168845155172694
Country 35,Economic,Low,2.028596192049735
Country 15,Social,Medium,1.2246088923351546
Country 3,Economic,High,1.299090144491565
Country 16,Social,Medium,3.2560359971519994
Country 26,Regulatory,Medium,1.4518927156077632
Country 16,Regulatory,Medium,1.5212048260844218
Country 6,Regulatory,Medium,2.0309394102735028
Country 28,Environmental,Medium,4.596531821144785
Country 32,Economic,High,4.8198335590490196
Country 27,Regulatory,Medium,1.3840843106378786
Country 48,Economic,High,2.7501077545766086
Country 7,Environmental,Low,4.272289942064566
Country 16,Political,Low,4.3750665381664655
Country 40,Social,Medium,3.9124685016641605
Country 49,Political,Low,3.2087596420457527
Country 2,Environmental,Medium,2.724497481330311
Country 9,Social,Low,3.957292401068057
Country 27,Economic,Medium,3.6867981609434817
Country 39,Social,High,3.5193588678844554
Country 4,Regulatory,Medium,3.6845156991371835
Country 43,Social,Low,4.51967731164427
Country 37,Social,Low,3.516758371533004
Country 22,Regulatory,Low,3.7472410278193533
Country 7,Regulatory,High,2.459986948141254
Country 17,Economic,Medium,3.6341742067055867
Country 39,Economic,Medium,4.78727524666786
Country 37,Regulatory,High,1.7267476907188204
Country 45,Regulatory,High,1.2379660791729465
Country 17,Economic,Medium,3.1193054465027013
Country 2,Environmental,High,2.2673273454746026
Country 10,Environmental,High,4.106645149271926
Country 34,Environmental,Low,4.678794381191455
Country 26,Economic,Low,2.5843937532130603
Country 29,Political,Low,2.605654490339937
Country 43,Economic,High,1.4998664197219989
Country 19,Political,Low,4.3461673193583685
Country 33,Political,High,3.3783551700963073
Country 7,Regulatory,Medium,1.5493941282386303
Country 40,Environmental,Medium,2.690770813878064
Country 6,Regulatory,Medium,2.7505387630434233
Country 48,Social,Low,2.813356270931102
Country 35,Economic,Medium,3.6418863337462097
Country 16,Regulatory,Medium,3.1232310612492835
Country 34,Political,Medium,1.0552028112308696
Country 41,Social,High,3.5345943420432473
Country 24,Regulatory,High,3.884164448917897
Country 47,Political,Low,3.125262894606419
Country 43,Environmental,Medium,2.5577793709644903
Country 7,Environmental,Medium,1.3427260026561179
Country 40,Regulatory,Medium,4.287605257261999
Country 46,Regulatory,Low,4.812439074922567
Country 23,Environmental,Medium,4.430648626230459
Country 50,Environmental,Low,3.2367227342447893
Country 1,Regulatory,Low,3.813492961823672
Country 7,Environmental,High,3.987176730956675
Country 3,Environmental,Low,2.4428872818380447
Country 42,Environmental,Medium,2.610623631629476
Country 10,Social,High,1.7286483053896808
Country 34,Regulatory,Medium,1.382732841302687
Country 21,Regulatory,Low,4.235725215609779
Country 27,Political,Low,1.1434681462978595
Country 12,Environmental,Medium,4.099700097323643
Country 15,Economic,Medium,1.8706331823160434
Country 39,Regulatory,Medium,1.5788845804294618
Country 17,Social,Low,4.094212700047162
Country 17,Political,Medium,4.743284839107684
Country 5,Environmental,Low,1.3436521533139079
Country 44,Economic,Medium,2.0809043460459056
Country 29,Social,Low,4.896264622992128
Country 8,Social,Medium,2.295542899925765
Country 27,Social,High,2.90595394742448
Country 6,Regulatory,Low,3.4843891916246705
Country 50,Economic,Low,1.3959183204776107
Country 14,Environmental,Medium,2.954979186212884
Country 31,Economic,Medium,2.7052486919623453
Country 15,Economic,Medium,2.1676247370525563
Country 31,Regulatory,High,3.0764937470952938
Country 16,Environmental,Medium,1.1825519456563263
Country 32,Economic,Medium,2.04241734753483
Country 44,Political,High,1.7631187608175538
Country 5,Economic,Low,4.67023540556286
Country 38,Environmental,Low,4.916230456860157
Country 5,Environmental,Low,2.3863524753269076
Country 39,Economic,Low,4.469407376850077
Country 48,Political,Medium,4.463872888466933
Country 47,Political,Medium,1.4204204510092877
Country 25,Regulatory,Low,3.3117447381809195
Country 23,Economic,High,2.4722672254683715
Country 31,Regulatory,Medium,4.399065143868178
Country 31,Political,High,4.39561457166839
Country 34,Regulatory,High,1.7412964590130913
Country 25,Political,Medium,1.0347729572298112
Country 50,Economic,Medium,2.1983734837701796
Country 29,Regulatory,Low,4.838938389845486
Country 31,Regulatory,Medium,3.814255231859008
Country 18,Regulatory,Medium,1.5883162521187817
Country 2,Social,Medium,4.636745428609288
Country 15,Regulatory,Medium,4.035182880745145
