Supplier,Region,Component_ID,Lead_Time_Days,Cost_USD,Reliability_Score
Supplier 14,Asia,Component_012,18,2304.7247100675313,0.9069064654688695
Supplier 2,Australia,Component_010,8,19824.21044405253,0.8012976413829134
Supplier 22,Africa,Component_017,21,18536.548353292044,0.7654554962958254
Supplier 8,Asia,Component_018,45,33203.212744350414,0.828622178692799
Supplier 47,Europe,Component_019,53,44750.53071060196,0.8290004971051933
Supplier 41,Australia,Component_001,30,25564.06544502311,0.894104724364011
Supplier 31,Europe,Component_010,56,17649.504631844313,0.7409501749462584
Supplier 23,Asia,Component_004,27,5980.80384106036,0.7312470967721112
Supplier 40,Australia,Component_018,5,17021.780362619153,0.9985310342005542
Supplier 19,Africa,Component_018,41,12677.068125557753,0.7900808765748787
Supplier 14,Africa,Component_011,29,5966.6420816730715,0.9555837515008001
Supplier 37,Australia,Component_015,52,35298.30405946649,0.7153974026318776
Supplier 23,Europe,Component_003,22,27837.51380452772,0.7447196706702018
Supplier 35,Africa,Component_020,46,36197.421239974006,0.7605777911651402
Supplier 9,Asia,Component_003,27,30288.669887103137,0.9463227085394459
Supplier 40,South America,Component_008,35,17478.69693348328,0.9888565121267073
Supplier 16,North America,Component_002,43,21203.845577230528,0.9704359430239109
Supplier 26,South America,Component_013,25,10335.919979836239,0.772821257115098
Supplier 12,Asia,Component_010,17,19207.111852016827,0.9159863103455711
Supplier 2,Europe,Component_019,49,11532.912790315411,0.9728854177547703
Supplier 17,Australia,Component_018,32,19867.67684779101,0.8831381238033449
Supplier 10,Africa,Component_020,43,31511.274709774156,0.8884411009612714
Supplier 50,South America,Component_002,23,20959.391542269746,0.8683437126046164
Supplier 45,South America,Component_002,12,7753.982941335657,0.7249781969253238
Supplier 34,Africa,Component_009,23,30503.64645796558,0.9162011407715199
Supplier 19,Australia,Component_019,12,14631.456142902012,0.7082589670205367
Supplier 2,Europe,Component_010,15,40329.16550603898,0.7693509416008721
Supplier 29,Africa,Component_019,17,49815.43685253778,0.7652907609781261
Supplier 6,Asia,Component_006,55,42172.44502903284,0.918309622865205
Supplier 44,Australia,Component_002,51,47811.565216770745,0.8620520981533752
Supplier 12,Europe,Component_005,21,1918.0457882664027,0.7250720736106658
Supplier 28,South America,Component_020,35,25004.84033408048,0.970139415808239
Supplier 20,North America,Component_014,27,47313.89800966991,0.7098847346239526
Supplier 1,South America,Component_020,51,19900.787695895542,0.8038585178150134
Supplier 23,Asia,Component_008,33,32998.9925038974,0.9844713762117353
Supplier 7,Africa,Component_008,13,43281.84260755337,0.8247343536295934
Supplier 15,Europe,Component_006,51,46436.77574289766,0.961159027924521
Supplier 17,Europe,Component_010,23,35472.38297919722,0.8409284527044136
Supplier 10,Europe,Component_020,13,10222.487227725142,0.9100713065899912
Supplier 31,Australia,Component_017,34,34205.499782279134,0.7797925870324065
Supplier 30,Europe,Component_018,42,35911.99326782832,0.7992916349665165
Supplier 42,Europe,Component_014,35,24171.992463234033,0.9085774449808985
Supplier 1,South America,Component_006,48,12731.152590099706,0.8276362420192283
Supplier 33,South America,Component_017,34,12747.97872916891,0.7896217865667436
Supplier 10,Australia,Component_016,51,17125.87309655999,0.9624227629274944
Supplier 22,Africa,Component_010,24,40801.64254663961,0.9525760600500754
Supplier 24,Africa,Component_016,7,24637.91056553464,0.8488751514301178
Supplier 43,Africa,Component_016,10,15365.44907714953,0.9490710670360909
Supplier 18,Europe,Component_007,38,40748.09869178775,0.8751434278640771
Supplier 32,Europe,Component_002,13,7491.143078059679,0.8355114731204254
Supplier 7,Africa,Component_016,20,24591.305919139282,0.8234903210996032
Supplier 31,Asia,Component_018,24,29514.357742661337,0.8392454477712232
Supplier 18,Asia,Component_020,40,34269.8744969162,0.8354673027926005
Supplier 10,Australia,Component_006,54,3661.0657909541405,0.8562917899291662
Supplier 8,Asia,Component_001,58,6025.987244816434,0.8407998390654339
Supplier 36,North America,Component_004,28,48022.51704894116,0.9787823589611437
Supplier 30,North America,Component_009,57,8023.904820884957,0.9433290632337024
Supplier 15,South America,Component_007,29,9939.600463289207,0.9533891982227689
Supplier 21,Europe,Component_016,25,17370.22012487363,0.7306739026493648
Supplier 21,Asia,Component_010,32,47104.10803416947,0.9591613868036536
Supplier 18,Australia,Component_004,8,16186.260211264378,0.9862784267674722
Supplier 49,Asia,Component_019,32,48143.107352307175,0.8223491294082137
Supplier 34,North America,Component_006,14,48277.11966570504,0.7982623338001408
Supplier 6,South America,Component_008,38,39200.248548618576,0.9186421009247473
Supplier 25,Africa,Component_002,50,1888.3281540596581,0.8410786957529109
Supplier 11,South America,Component_004,12,12878.667740978934,0.982916140183495
Supplier 26,Europe,Component_017,17,22956.121724735203,0.7666671918606621
Supplier 49,North America,Component_006,49,29881.306187943446,0.8015362802664058
Supplier 29,Africa,Component_017,18,29086.489914757898,0.9146118119552491
Supplier 50,Asia,Component_005,54,14771.160018660481,0.9734034069898361
Supplier 1,Europe,Component_010,25,19308.559570104237,0.8442821507966782
Supplier 31,Australia,Component_008,45,15549.46091739619,0.7806512636490757
Supplier 5,North America,Component_002,43,45500.60372104054,0.7542810479101739
Supplier 40,South America,Component_020,9,9198.12725046296,0.9051036001135313
Supplier 19,South America,Component_015,36,11362.855769936774,0.9059460490502664
Supplier 33,Europe,Component_009,20,45260.39872003469,0.7638463811835636
Supplier 24,South America,Component_010,53,47766.34189554686,0.7913254314356116
Supplier 7,Australia,Component_018,18,49686.486631569765,0.8718364704904538
Supplier 17,North America,Component_020,56,32048.79249528356,0.7134879234751796
Supplier 28,North America,Component_012,49,47425.69833169362,0.7690327412907577
Supplier 50,Asia,Component_016,40,40887.71484827148,0.9546831986809315
Supplier 20,South America,Component_009,46,9026.352509914726,0.9672324531986247
Supplier 48,North America,Component_019,59,41878.845442952705,0.7737204349481901
Supplier 41,Australia,Component_004,56,23095.590257883418,0.9351268238170651
Supplier 23,Africa,Component_016,5,37212.94874501171,0.8724795250233897
Supplier 43,Australia,Component_001,46,40051.705075171834,0.797285165999793
Supplier 31,Europe,Component_015,20,20873.442429394883,0.7889263692867192
Supplier 29,Asia,Component_015,21,19401.757783226814,0.9574139409702465
Supplier 1,Australia,Component_007,31,20916.534085685624,0.9111057495333632
Supplier 45,North America,Component_018,6,46844.68730028009,0.9842955148737681
Supplier 1,Europe,Component_011,5,43319.18511749371,0.7235075055231239
Supplier 23,Asia,Component_015,46,32572.114177526702,0.8331448092506684
Supplier 1,Asia,Component_014,23,40329.02946117138,0.8885817114613755
Supplier 4,Africa,Component_016,10,24378.51422107331,0.8755900728050502
Supplier 10,Africa,Component_018,23,5896.502876773828,0.8183695004144753
Supplier 34,North America,Component_009,10,41302.54423751885,0.9813999293983321
Supplier 3,South America,Component_017,38,9105.97335196619,0.9607822841722873
Supplier 43,Australia,Component_001,21,3450.829543857186,0.9954192313862424
Supplier 13,South America,Component_009,13,24074.44502095391,0.7258045905872692
Supplier 46,Europe,Component_009,26,26671.574746042705,0.7246370936262752
Supplier 14,Europe,Component_020,6,40357.84543276922,0.8888549823336429
Supplier 22,Europe,Component_010,55,4030.801827939649,0.7920142884789477
Supplier 7,Africa,Component_012,40,38898.191468102996,0.8952094113944686
Supplier 46,Africa,Component_002,35,5131.768137090914,0.7754096489081195
Supplier 45,Africa,Component_017,35,23215.72915460714,0.7255931505635443
Supplier 9,Africa,Component_020,53,21273.666320755383,0.7642498946572575
Supplier 6,Australia,Component_002,28,41656.20571516038,0.9187149502032042
Supplier 19,South America,Component_019,22,33874.79803601797,0.9705481867944228
Supplier 31,Africa,Component_010,53,15535.006206063747,0.920085630890645
Supplier 25,North America,Component_002,55,6771.299498404454,0.8907265613540039
Supplier 50,Africa,Component_015,39,44705.41213188928,0.8012037701826623
Supplier 2,South America,Component_008,45,26083.776579798592,0.8235085021307815
Supplier 3,Africa,Component_018,45,33940.61597284661,0.8977196251036383
Supplier 24,Africa,Component_003,50,30559.14526296599,0.9028970767443828
Supplier 7,Africa,Component_002,59,18291.71725932946,0.7247317820831056
Supplier 18,South America,Component_005,52,27319.21901076256,0.7498691514490236
Supplier 14,Europe,Component_010,11,18295.13892395723,0.8355661203680775
Supplier 13,Europe,Component_011,32,18548.037659981346,0.7544133216309038
Supplier 19,South America,Component_014,45,17157.36778682586,0.7838992578628174
Supplier 28,Africa,Component_008,21,29075.813904550985,0.8716164578748365
Supplier 37,Europe,Component_014,38,42730.27789197913,0.9940937652065851
Supplier 8,Europe,Component_011,31,46968.47225572214,0.7989131377482412
Supplier 50,Australia,Component_004,9,16876.235946590623,0.7846225630241297
Supplier 48,North America,Component_009,18,4896.973603557593,0.7980470497101189
Supplier 38,Australia,Component_004,42,24818.451158853844,0.8764411164865543
Supplier 5,Africa,Component_007,39,22734.664153223963,0.8071167745722854
Supplier 5,Europe,Component_007,28,32543.614494839705,0.9368822235584517
Supplier 38,Africa,Component_011,49,30270.393079062003,0.9574053423830047
Supplier 37,North America,Component_013,53,43998.195850048054,0.7640494655585638
Supplier 29,South America,Component_017,10,26620.523152421243,0.8404619102295559
Supplier 34,Asia,Component_015,12,34580.900866585405,0.7956187735187675
Supplier 50,North America,Component_020,6,7595.680145070266,0.8364240367813558
Supplier 28,Europe,Component_005,47,36371.167627885836,0.7544939317826891
Supplier 39,Australia,Component_003,31,10570.06576882453,0.9560855168473079
Supplier 39,North America,Component_017,5,31692.969615425158,0.7908931513904178
Supplier 35,North America,Component_017,43,45566.13692469107,0.8954736415595
Supplier 14,North America,Component_003,38,9335.049338619834,0.7503767694047127
Supplier 18,Australia,Component_014,51,29452.435278418474,0.8394134741840039
Supplier 43,Australia,Component_019,58,42978.65844374157,0.850086406968599
Supplier 27,Europe,Component_013,42,26205.780041308688,0.9759594700865769
Supplier 34,South America,Component_013,26,26672.06157810971,0.7943607507655839
Supplier 49,South America,Component_009,46,13980.588977373653,0.8818863309425014
Supplier 3,Europe,Component_006,25,14188.19419919755,0.7893289477459373
Supplier 46,Africa,Component_012,7,35394.907600465755,0.7807998381714035
Supplier 25,Africa,Component_018,18,41029.62142386336,0.810194095215357
Supplier 41,Europe,Component_010,18,42051.9852090565,0.80257931826382
Supplier 31,South America,Component_005,42,33459.521294785285,0.8771317653116919
Supplier 34,Asia,Component_015,9,43047.05657384877,0.7610411986914468
Supplier 10,Asia,Component_018,30,36061.39031304712,0.8403363355730751
Supplier 16,Australia,Component_014,30,29079.857023729834,0.9596013799589022
Supplier 29,Asia,Component_007,46,30746.518843459027,0.9406094813483802
Supplier 34,Australia,Component_014,31,3229.563953773958,0.9982600099812522
Supplier 7,Asia,Component_002,46,42304.231947690525,0.9166852930509729
Supplier 26,Europe,Component_002,20,37985.07230287538,0.9836369849600521
Supplier 34,Africa,Component_008,19,40532.071921392155,0.8237327692699812
Supplier 2,Asia,Component_003,52,36538.97384244418,0.7680440447559196
Supplier 22,Australia,Component_020,13,14717.660426473098,0.8975158906022268
Supplier 37,Australia,Component_018,34,12741.338074198033,0.7203243736508349
Supplier 44,Australia,Component_010,51,28240.93457622561,0.7673478551537397
Supplier 31,Asia,Component_013,20,42770.29124140047,0.7438456427213572
Supplier 1,Europe,Component_002,12,11349.168331435178,0.8487617546372939
Supplier 2,North America,Component_006,39,20392.145156218423,0.8281458184691223
Supplier 26,Africa,Component_019,51,9712.283059194022,0.8100909904048705
Supplier 48,South America,Component_018,27,28301.945938668665,0.9335727608711485
Supplier 25,North America,Component_013,7,42469.3919432969,0.7284952055422027
Supplier 13,North America,Component_001,34,15990.57829501923,0.738449676438424
Supplier 10,Europe,Component_014,18,38127.85851282185,0.9924196571788441
Supplier 5,Asia,Component_016,47,42822.1919526609,0.8812402670088312
Supplier 50,Europe,Component_004,5,23109.61019406736,0.9487808985078732
Supplier 48,Australia,Component_009,18,25511.853320411137,0.8766412018819639
Supplier 47,Europe,Component_013,26,16468.390174052314,0.9259536855952326
Supplier 46,Australia,Component_002,17,7049.771310240511,0.823461440639675
Supplier 16,Asia,Component_010,7,27030.10863688323,0.9870603176306156
Supplier 24,North America,Component_011,50,47140.77389391714,0.7137600296700087
Supplier 21,South America,Component_018,33,44332.21997592716,0.714009377315923
Supplier 30,Australia,Component_014,51,6054.425027614603,0.7833873710765513
Supplier 17,Asia,Component_007,49,28837.41637787065,0.7584530763476544
Supplier 12,Africa,Component_004,53,32093.27869897473,0.9797348779918186
Supplier 43,South America,Component_002,39,39601.97084957112,0.7637164970165932
Supplier 3,North America,Component_018,24,11185.172047729704,0.7360902770707537
Supplier 22,North America,Component_016,29,13231.445040551544,0.7475062864166272
Supplier 50,Europe,Component_011,29,24666.29393225778,0.8484296636226821
Supplier 25,South America,Component_003,59,34574.308357257716,0.8958403720198932
Supplier 31,Australia,Component_001,33,22362.861501375988,0.9152749407649869
Supplier 27,Australia,Component_014,17,33270.9392989646,0.9273196720552277
Supplier 17,Africa,Component_001,13,13850.3548163853,0.8458488551271413
Supplier 39,South America,Component_019,58,25055.560559526566,0.9531168151091838
Supplier 34,Africa,Component_012,11,31220.381002210015,0.9984847867858412
Supplier 38,Australia,Component_020,12,10953.673135772457,0.8921625910082451
Supplier 23,Australia,Component_010,8,30728.04672930691,0.927129986756603
Supplier 41,Asia,Component_008,12,43661.43746790516,0.7527127415690117
Supplier 15,South America,Component_010,54,8712.564117115719,0.739072468926906
Supplier 33,Africa,Component_006,33,20117.559654606917,0.7643132699517914
Supplier 28,South America,Component_002,25,13646.520998597503,0.738985949449952
Supplier 28,North America,Component_012,42,21136.341358142,0.7026197654760031
Supplier 47,Asia,Component_002,28,20305.25207930474,0.9334265375372796
Supplier 47,Europe,Component_020,43,14909.246542087118,0.984052915137408
Supplier 22,Australia,Component_015,8,17516.76232877039,0.9842976023204986
Supplier 48,Asia,Component_017,29,5185.5408100593695,0.9702725171868907
Supplier 14,North America,Component_020,33,27119.415620766442,0.8398759640213569
Supplier 19,Europe,Component_015,29,30413.04587188772,0.9714600570182466
Supplier 43,Asia,Component_001,51,2524.4347643647016,0.9617226721883334
Supplier 26,Australia,Component_014,53,30654.98369085255,0.9176339462259436
Supplier 2,Australia,Component_019,27,34934.76848068171,0.9541809579405638
Supplier 1,Asia,Component_010,27,12545.3973214788,0.9463131087299681
Supplier 3,Asia,Component_010,26,24502.062144080846,0.9785190689427166
Supplier 29,Europe,Component_013,14,25992.07518434435,0.8095100790282012
Supplier 38,Australia,Component_019,47,13619.100954918355,0.941331313005128
Supplier 9,Asia,Component_007,11,40119.06165815538,0.7723950690520571
Supplier 3,Australia,Component_004,19,3820.201128873457,0.9007164527845288
Supplier 47,South America,Component_002,44,19857.1720344305,0.7988022709923946
Supplier 39,Australia,Component_001,7,35456.18672761034,0.7663908065094845
Supplier 23,South America,Component_020,47,15149.248189399403,0.8091900083984221
Supplier 16,Asia,Component_003,20,31093.086247784846,0.8296094132588125
Supplier 13,Australia,Component_001,11,46313.22354952171,0.9841440556198011
Supplier 6,Asia,Component_014,54,13895.353526854587,0.9765961365176272
Supplier 49,North America,Component_003,44,39612.550065493815,0.8970528568294514
Supplier 32,Australia,Component_018,34,29377.05289553348,0.7338048386788688
Supplier 10,North America,Component_015,13,39032.60415551085,0.920124414708362
Supplier 10,Africa,Component_015,37,34934.972837032,0.9677888459487983
Supplier 25,Australia,Component_012,28,25065.710379096043,0.8617247702829518
Supplier 26,Africa,Component_018,24,16554.04507820834,0.7979695966089707
Supplier 41,Asia,Component_002,28,17054.794417890742,0.9919729484264965
Supplier 5,Asia,Component_010,41,3272.3523019107215,0.7132397153215421
Supplier 17,Australia,Component_004,20,43606.56394123857,0.7116182120200235
Supplier 15,South America,Component_019,12,2745.1961705673884,0.9572350985955091
Supplier 47,South America,Component_019,35,33489.05340071593,0.8284090552508961
Supplier 14,Australia,Component_015,13,1181.992404743326,0.93606724509215
Supplier 36,Australia,Component_008,29,29839.568194796237,0.9575162708115724
Supplier 48,Africa,Component_011,55,30481.90158496398,0.8700615910150676
Supplier 28,Australia,Component_002,8,4408.05216226144,0.714046070585026
Supplier 34,Europe,Component_009,15,14380.527772073563,0.8353996411963405
Supplier 22,Asia,Component_015,53,40337.065374886784,0.7152440005715602
Supplier 36,Europe,Component_014,22,8491.700968603196,0.826057673397676
Supplier 29,South America,Component_016,5,32565.1279390623,0.7011527419874035
Supplier 15,North America,Component_018,8,48287.57505284777,0.9007132290646163
Supplier 17,Asia,Component_004,58,12905.244973752395,0.7250913203680949
Supplier 45,North America,Component_005,25,21624.308471834058,0.9420623149417986
Supplier 49,Asia,Component_006,44,20539.62856059117,0.7560476451486156
Supplier 25,South America,Component_015,52,36869.81578141342,0.7730383520105412
Supplier 24,Africa,Component_015,35,1309.9215505684294,0.9612835921621699
Supplier 43,South America,Component_013,54,24072.15351801497,0.9338938597118529
Supplier 26,Africa,Component_018,33,26634.895626350393,0.9825838357691914
Supplier 19,Africa,Component_006,31,38295.754815332,0.7988390921261166
Supplier 26,North America,Component_001,28,46944.69709032122,0.9795214300084272
Supplier 40,North America,Component_010,23,8791.677077235727,0.805388686713887
Supplier 16,North America,Component_005,34,6845.745349412025,0.7328482731766095
Supplier 40,North America,Component_011,37,16051.315685601749,0.9479657328089252
Supplier 23,South America,Component_008,5,12487.301042283398,0.8927934245559166
Supplier 31,Africa,Component_004,35,39489.748539885135,0.7185641036440947
Supplier 49,South America,Component_009,43,9535.278828975624,0.7942603424307346
Supplier 42,North America,Component_020,24,39702.244970918386,0.8588985184887473
Supplier 22,Africa,Component_005,6,35068.309574707855,0.9232034983611241
Supplier 8,South America,Component_019,7,15309.545029369145,0.7268262122658553
Supplier 1,North America,Component_002,5,28041.934911167304,0.7521457373044241
Supplier 12,Asia,Component_003,32,48697.88335856293,0.764531192160289
Supplier 32,North America,Component_018,17,7260.806231754972,0.8328258622389542
Supplier 10,Australia,Component_015,21,40718.92765726811,0.9647236079212378
Supplier 36,Asia,Component_003,40,43224.705344178525,0.9527084955167809
Supplier 48,North America,Component_013,18,24359.9828916293,0.7340973103518871
Supplier 48,Asia,Component_005,20,7237.728478349211,0.9358629879379439
Supplier 47,Asia,Component_011,17,46419.02771899482,0.8406364779087303
Supplier 38,Europe,Component_001,11,36550.53949857069,0.851206744350444
Supplier 6,Europe,Component_007,46,46110.48076101941,0.8394089774367459
Supplier 25,South America,Component_010,19,31664.417351154654,0.9624110222128954
Supplier 32,North America,Component_015,25,29323.41683427886,0.7929799305067566
Supplier 27,Africa,Component_020,7,17603.22578094835,0.9743589397207404
Supplier 48,Europe,Component_008,28,16211.910915450293,0.9646023318935159
Supplier 22,Asia,Component_012,52,46643.493456815864,0.7666128741414288
Supplier 7,North America,Component_014,54,11964.117626308023,0.9387829583004895
Supplier 5,Europe,Component_002,11,25621.809379548402,0.862724999342218
Supplier 35,South America,Component_020,13,9471.837578587743,0.9786991416885296
Supplier 25,South America,Component_008,5,38998.52382896668,0.8570401629277202
Supplier 1,Africa,Component_020,56,48153.82413032043,0.7335661310791218
Supplier 47,Europe,Component_003,45,9447.133737961602,0.9929362119097331
Supplier 31,South America,Component_010,36,33864.79606696762,0.9433349792631063
Supplier 11,South America,Component_013,48,26594.847770292177,0.8873692884642743
Supplier 35,Australia,Component_006,19,23789.341791848194,0.9931748656746885
Supplier 29,Australia,Component_008,50,37180.354722238204,0.8292778678313135
Supplier 45,Africa,Component_015,54,44215.8751071217,0.8188975969184629
Supplier 14,Australia,Component_009,47,37155.37975827853,0.8884388712259387
Supplier 48,South America,Component_011,22,18643.258265201443,0.8010737318516398
Supplier 2,Europe,Component_012,33,36515.59249353248,0.9645095252751097
Supplier 12,Australia,Component_013,42,31263.644173041415,0.8941992380331747
Supplier 8,North America,Component_019,48,32564.793384599263,0.7038864012337044
Supplier 46,Africa,Component_011,7,5325.481958657233,0.8187750817999562
Supplier 20,South America,Component_003,33,17020.0022528002,0.9762339810648049
Supplier 9,South America,Component_016,10,5238.037941640343,0.838566228613897
Supplier 5,North America,Component_012,40,30149.299959853495,0.8676931894577871
Supplier 6,Africa,Component_018,56,23670.8519852082,0.9160353041723595
Supplier 28,Europe,Component_005,51,4986.123664416973,0.8418327886396807
Supplier 30,South America,Component_012,14,23960.872261518514,0.726327383194377
Supplier 48,Australia,Component_010,9,14063.107548439379,0.7395582985739926
Supplier 48,Africa,Component_010,10,28466.330850593597,0.8870982156012125
Supplier 26,Africa,Component_005,29,23063.893104794835,0.9484046831942338
Supplier 38,South America,Component_009,11,42906.56310969684,0.8142804582940155
Supplier 47,South America,Component_003,53,20505.29018947523,0.820476750230381
Supplier 1,Australia,Component_006,22,41421.08193344705,0.8023269766693106
Supplier 31,North America,Component_010,15,11293.609212246294,0.8926548861622098
Supplier 48,Asia,Component_006,32,25110.243708102596,0.9263100996371438
Supplier 33,Africa,Component_015,7,44373.21349312706,0.8221664398844769
Supplier 29,Australia,Component_002,59,6167.24212868673,0.8869549445633588
Supplier 2,Asia,Component_010,33,7954.068563137224,0.9952822367681022
Supplier 22,North America,Component_003,33,6482.899425216085,0.8759764075900482
Supplier 26,Africa,Component_020,19,37054.75539127835,0.7273112707051473
Supplier 4,South America,Component_005,14,22544.750562925907,0.7472276353304227
Supplier 22,South America,Component_018,29,36104.28692108829,0.7930928932134192
Supplier 29,Asia,Component_008,16,7726.880211301561,0.7480655865294753
Supplier 10,Europe,Component_009,49,4060.929972373411,0.7724215003630827
Supplier 11,South America,Component_012,56,17092.25719238138,0.8496479865506922
Supplier 27,Asia,Component_015,27,48954.58896440628,0.7908515212658187
Supplier 12,Europe,Component_011,17,19409.552304570847,0.7163983320960361
Supplier 18,Asia,Component_011,17,35799.66281908487,0.7695284026057596
Supplier 46,Australia,Component_007,19,19307.87211225136,0.9418114867527954
Supplier 44,Australia,Component_006,57,43002.814708915044,0.9899788849246457
Supplier 7,Africa,Component_009,30,46764.294726023705,0.9925757518208247
Supplier 42,Asia,Component_018,27,10120.239836972833,0.7754539876112061
Supplier 33,North America,Component_010,38,7502.91715877624,0.9462209644580053
Supplier 15,Australia,Component_003,37,48740.77302228238,0.9600009518161534
Supplier 30,Asia,Component_004,20,33898.81135687566,0.7086499993903189
Supplier 22,North America,Component_015,7,27620.09765585882,0.9342891884210869
Supplier 40,North America,Component_010,50,19308.077018408985,0.9302654995101011
Supplier 49,Asia,Component_002,23,19638.312448712943,0.9680378661965019
Supplier 20,Europe,Component_012,45,1071.3748780589624,0.7062539102956003
Supplier 22,Africa,Component_013,26,11155.729467177374,0.9156660502588652
Supplier 39,Europe,Component_015,55,4284.124007898114,0.7759452218865713
Supplier 49,Asia,Component_003,30,7619.898437419263,0.7403848668558869
Supplier 30,South America,Component_002,29,16861.586977921317,0.793716995708946
Supplier 4,Africa,Component_012,44,33619.501708567295,0.8182196811349918
Supplier 1,Africa,Component_012,29,38996.940393478726,0.7711354582557985
Supplier 26,Asia,Component_008,23,2880.4228786290087,0.7109061911684053
Supplier 46,Asia,Component_004,9,24419.974665894864,0.9317963745238595
Supplier 34,Africa,Component_008,38,41841.090702079455,0.7644869003525109
Supplier 28,South America,Component_013,29,42192.27995162243,0.9221033647782335
Supplier 1,Asia,Component_004,30,13589.07979387447,0.8468892507536345
Supplier 8,Africa,Component_015,26,48673.150436325006,0.9824025783894181
Supplier 43,South America,Component_004,18,38159.82598876978,0.8483497856506605
Supplier 7,Africa,Component_010,52,31011.548752275856,0.80614044143621
Supplier 17,North America,Component_013,29,27510.864087775655,0.793422500259336
Supplier 22,South America,Component_017,9,16873.51978859811,0.7742499330696342
