Date,Region,Historical_Sales,Predicted_Sales,Market_Trend
2022-08-16 07:14:06,North America,1198,1156,Growing
2023-02-07 19:16:23,Europe,18760,18290,Stable
2022-04-17 03:02:47,North America,40374,39657,Declining
2022-12-19 00:33:29,Europe,29113,30954,Growing
2023-04-11 06:56:22,Europe,3357,3448,Stable
2022-04-04 15:20:54,Africa,6196,7032,Growing
2023-12-15 19:46:32,Africa,37785,45133,Declining
2023-03-04 12:51:15,North America,30175,28828,Declining
2022-09-29 03:04:04,Australia,10833,10559,Declining
2022-01-30 11:55:38,Europe,28431,31564,Growing
2022-09-10 19:20:43,North America,25110,22889,Declining
2022-03-19 21:55:21,North America,20211,22972,Growing
2023-03-23 11:17:39,Europe,29945,29031,Stable
2022-07-20 17:15:15,Europe,20704,22130,Declining
2023-06-16 07:53:58,Africa,9529,9015,Growing
2023-04-12 09:00:01,Europe,19049,18862,Growing
2022-03-17 09:11:45,North America,22453,23560,Stable
2022-04-22 22:29:16,Asia,28923,30152,Declining
2023-03-31 08:20:10,Africa,11105,12695,Stable
2022-06-24 08:06:15,Europe,33288,33004,Stable
2022-09-11 06:17:45,Asia,7891,9182,Declining
2023-07-04 03:02:22,South America,15586,17839,Stable
2023-01-02 08:36:38,Asia,29799,28804,Growing
2022-03-10 01:32:37,Europe,23918,28643,Stable
2022-02-28 10:02:33,North America,30625,35192,Stable
2022-03-02 08:47:54,South America,11413,12813,Growing
2022-02-11 13:51:57,North America,38478,39763,Growing
2022-02-21 02:32:51,Africa,23396,27962,Declining
2022-05-10 06:28:08,North America,4021,4066,Stable
2023-05-24 14:40:37,Africa,38240,40112,Stable
2023-08-29 12:24:42,Europe,29689,32137,Growing
2022-05-02 03:48:09,North America,29868,27412,Stable
2022-08-23 17:08:58,Australia,37582,39330,Stable
2022-02-05 00:31:54,South America,46916,44203,Declining
2023-11-23 14:06:36,North America,39363,43851,Declining
2022-07-20 13:44:50,North America,41957,42002,Growing
2022-01-11 01:23:49,North America,46181,52418,Stable
2022-04-11 07:02:15,Africa,14979,14426,Growing
2022-11-03 14:35:33,North America,6750,6577,Stable
2023-11-01 08:59:02,Europe,25676,27423,Declining
2022-06-09 03:22:26,South America,36163,40999,Stable
2023-01-14 13:09:13,Asia,49203,58205,Growing
2022-06-17 04:27:39,Europe,40143,43827,Declining
2022-03-04 04:56:36,Africa,6681,7261,Declining
2023-12-24 21:58:51,North America,12015,12406,Declining
2023-03-22 18:08:00,Australia,29861,31256,Stable
2022-02-04 08:06:02,North America,42211,47209,Stable
2023-08-23 02:01:53,North America,43889,48720,Declining
2023-04-15 13:31:14,South America,48511,53676,Stable
2023-09-14 20:12:23,Africa,47396,49514,Declining
2022-06-28 05:45:42,Asia,11407,11660,Growing
2022-03-28 05:46:24,Africa,8865,8381,Declining
2023-05-22 08:16:38,Africa,16679,15233,Declining
2023-10-20 19:55:04,Asia,44222,41686,Stable
2023-05-20 00:06:09,Asia,35332,36540,Stable
2022-01-21 12:58:45,South America,2126,2386,Declining
2022-10-20 04:32:17,South America,6706,6515,Declining
2023-08-13 15:24:56,South America,41612,45088,Declining
2022-06-26 07:01:29,Asia,3168,3523,Stable
2023-03-10 17:15:11,Asia,21858,20672,Declining
2022-05-06 16:46:41,South America,6529,7082,Declining
2023-09-05 13:04:43,Africa,44531,48721,Declining
2022-07-28 11:14:41,Australia,35538,38641,Growing
2022-04-24 10:05:39,South America,5088,5377,Stable
2022-04-02 13:26:06,South America,33299,29988,Declining
2022-08-09 15:04:44,South America,36307,38499,Stable
2022-07-18 11:12:32,Australia,1645,1589,Growing
2022-08-04 20:31:08,Europe,43167,42521,Stable
2022-03-04 11:27:20,North America,22194,22557,Declining
2023-07-18 01:53:29,Africa,33897,40021,Declining
2022-09-05 12:07:02,Australia,11425,10937,Stable
2022-03-18 10:44:51,Asia,49129,54916,Stable
2022-03-26 20:58:28,South America,20516,22873,Declining
2022-10-30 05:54:51,Africa,14324,13535,Stable
2022-04-26 20:32:49,Africa,20676,22725,Growing
2022-07-16 04:51:01,Africa,18944,21980,Stable
2022-08-15 23:47:21,Europe,11393,13401,Stable
2022-07-25 15:33:47,North America,21325,19932,Declining
2022-03-29 09:45:31,Australia,26228,26682,Stable
2022-03-26 05:02:10,Asia,18132,17511,Growing
2022-10-01 18:37:51,Europe,37010,34647,Growing
2023-07-05 18:17:04,Africa,26049,27535,Declining
2022-11-25 09:02:25,Asia,31993,35844,Declining
2022-01-21 16:06:06,Asia,19612,19436,Growing
2023-12-12 19:02:38,Australia,2525,2988,Declining
2022-02-01 20:09:54,Europe,27580,31386,Declining
2022-01-09 23:47:00,Europe,22964,25685,Growing
2023-07-10 13:24:14,South America,48413,51369,Declining
2022-05-16 07:29:45,Africa,5415,5335,Declining
2023-01-06 04:51:32,Africa,17921,19006,Declining
2023-12-27 20:00:35,Europe,38400,44223,Declining
2022-02-10 10:16:45,Asia,21505,22903,Declining
2023-12-20 07:44:44,South America,40075,46002,Stable
2022-07-27 05:45:59,North America,22370,22184,Declining
2022-11-24 13:10:40,Australia,22863,26135,Stable
2022-12-26 11:03:46,Africa,19880,21224,Growing
2023-04-08 18:26:39,Europe,45061,44483,Declining
2023-05-01 20:51:34,North America,40653,40126,Stable
2023-08-26 13:25:19,South America,42028,50232,Growing
2022-08-15 20:29:10,Europe,17267,19402,Growing
2023-01-30 06:34:47,North America,7226,7170,Declining
2023-08-15 03:50:42,Asia,44818,53563,Stable
2022-10-02 01:22:54,Africa,13059,13375,Stable
2022-04-17 11:19:40,Asia,29906,35775,Stable
2022-10-17 02:33:44,Asia,29315,27154,Growing
2022-05-24 16:21:26,North America,17172,15908,Growing
2022-12-11 01:25:11,Asia,17258,16867,Declining
2023-10-22 15:21:18,South America,49169,44819,Growing
2022-09-04 22:26:06,Europe,12665,12273,Stable
2022-02-23 17:12:07,South America,31378,31816,Growing
2022-12-30 01:11:39,Asia,4390,4215,Stable
2022-07-19 03:42:13,Asia,48721,57994,Growing
2022-10-09 10:08:35,Europe,35355,35380,Growing
2022-01-25 03:07:08,Australia,41924,46134,Growing
2022-01-02 15:40:09,Europe,9947,11885,Declining
2022-01-18 00:42:22,North America,28354,31238,Growing
2022-07-25 07:38:24,North America,20161,21674,Declining
2023-09-23 18:20:50,Africa,6739,6711,Declining
2023-11-29 20:40:30,North America,29300,33678,Stable
2022-10-27 22:46:04,South America,5979,6670,Stable
2022-08-06 23:29:17,Asia,17144,17798,Declining
2023-08-17 21:10:33,Australia,32808,32919,Declining
2022-01-27 02:31:08,Europe,38657,45089,Stable
2022-12-25 11:58:42,North America,42082,46667,Stable
2022-02-06 05:52:22,Australia,29579,28521,Declining
2023-11-18 20:12:51,North America,28627,27820,Declining
2022-07-29 05:38:29,South America,28203,27004,Declining
2023-12-10 18:34:19,Europe,12100,12778,Declining
2022-02-05 12:08:09,Asia,29936,27904,Declining
2022-01-05 04:28:28,Asia,5280,5731,Declining
2023-02-27 12:34:55,North America,10935,10348,Declining
2022-01-16 14:57:37,Asia,34719,35613,Growing
2022-03-09 10:55:34,Asia,15651,18751,Declining
2023-01-03 14:25:27,Africa,32275,31345,Declining
2022-03-04 05:01:33,Australia,32601,31342,Declining
2022-10-04 07:16:34,Europe,26551,27649,Stable
2023-04-17 22:38:35,Africa,23641,24895,Growing
2023-10-10 09:38:34,Europe,19612,21947,Declining
2022-11-29 09:05:47,Asia,3506,4001,Stable
2023-01-12 03:43:50,Europe,35964,33014,Stable
2023-11-13 14:55:17,Asia,3835,4531,Stable
2023-06-21 04:34:57,Europe,44910,43177,Declining
2023-07-22 10:00:41,South America,39776,44870,Declining
2022-02-07 07:44:11,Asia,12965,13327,Declining
2022-12-08 20:52:40,Asia,4032,4805,Growing
2022-03-02 01:50:56,Africa,20765,19898,Stable
2023-03-23 15:30:05,Africa,45616,53801,Growing
2023-10-06 00:25:06,Australia,48315,48996,Growing
2022-06-24 23:47:41,South America,23730,27096,Stable
2023-07-28 18:04:35,Australia,44362,43347,Stable
2023-12-08 17:56:58,South America,15204,15950,Stable
2022-10-31 23:32:24,South America,42198,42342,Declining
2022-11-14 14:24:35,Africa,4818,4979,Growing
2022-07-16 16:57:29,Europe,26272,25031,Declining
2023-03-05 13:27:22,Australia,31401,28704,Growing
2022-04-28 20:59:02,Africa,42648,40734,Declining
2022-02-04 00:42:08,Australia,15436,16681,Stable
2023-02-12 02:20:53,Africa,43256,46161,Declining
2022-10-14 11:53:03,Africa,49020,55041,Growing
2023-02-21 09:56:02,North America,33963,32188,Declining
2022-07-13 13:39:45,South America,2798,2924,Stable
2022-08-18 20:47:59,Europe,43745,50682,Stable
2023-06-18 00:59:48,Africa,40402,41049,Stable
2023-05-28 07:28:43,South America,44394,48488,Declining
2022-07-21 19:41:40,North America,28009,31422,Stable
2023-04-06 13:50:51,North America,31673,32265,Growing
2023-12-07 19:49:51,Europe,42921,47661,Growing
2023-10-15 23:25:11,Africa,23351,27868,Declining
2023-09-13 23:25:15,Australia,31847,35454,Stable
2023-02-18 05:29:43,Australia,48585,44622,Stable
2022-04-10 15:29:26,South America,27403,30444,Growing
2022-04-07 00:45:47,Australia,3692,4287,Stable
2023-09-07 05:43:39,North America,22629,21407,Declining
2023-04-01 12:33:17,North America,11226,10338,Declining
2023-04-03 13:19:04,North America,38859,38319,Stable
2022-03-09 03:54:49,Africa,2177,2482,Declining
2022-06-04 03:21:33,Asia,44397,45097,Stable
2023-05-25 13:32:21,Asia,5210,5730,Declining
2023-10-13 05:32:10,Africa,22009,21818,Growing
2022-02-16 17:09:41,Europe,33003,30812,Growing
2022-03-09 05:30:56,Asia,43094,50597,Growing
2023-10-17 08:34:47,Australia,24166,22170,Declining
2022-08-15 17:27:24,Europe,38402,41266,Stable
2022-10-28 00:23:23,Europe,32082,36891,Growing
2022-04-26 17:43:52,North America,3142,3536,Stable
2022-03-27 11:11:27,Asia,7409,8380,Stable
2023-05-15 06:32:05,South America,10219,11158,Declining
2022-10-17 10:46:26,Asia,45715,50904,Stable
2023-02-22 07:32:00,Australia,31763,33884,Stable
2022-09-17 22:39:37,Africa,7046,8307,Stable
2022-03-20 17:17:42,South America,28549,27919,Declining
2022-05-31 14:22:30,North America,39793,35921,Stable
2022-03-27 02:55:53,Africa,31040,31445,Declining
2022-01-01 21:50:01,Africa,18863,20387,Declining
2023-06-06 19:44:50,North America,16616,17923,Growing
2023-02-15 01:12:35,Africa,13191,13705,Growing
2022-12-19 00:31:17,Africa,13198,12793,Growing
2022-06-29 23:13:40,North America,2032,1910,Declining
2023-04-15 08:04:36,Africa,37015,34291,Stable
2023-12-05 22:37:36,South America,48880,55918,Growing
2022-02-22 14:41:24,South America,40826,42671,Growing
2023-10-09 05:45:19,Asia,38076,43318,Growing
2023-02-12 12:42:58,South America,40466,36650,Declining
2023-01-03 23:58:37,South America,24974,27776,Declining
2022-11-08 18:46:09,North America,44958,48281,Stable
2022-04-04 03:25:01,Australia,28876,31435,Declining
2022-06-09 14:43:06,North America,24291,24915,Stable
2022-12-12 17:42:39,North America,28132,29280,Growing
2023-01-07 01:59:54,Asia,47698,50122,Declining
2023-05-12 21:48:04,South America,38259,45274,Declining
2022-08-17 18:54:15,Europe,22648,24524,Growing
2023-10-30 02:56:56,Australia,31174,29014,Declining
2022-06-16 08:34:22,North America,17226,17165,Stable
2022-06-01 09:50:24,Asia,6036,6532,Declining
2023-07-13 11:15:33,Asia,20536,22579,Growing
2022-12-21 23:05:52,Asia,38360,39752,Stable
2022-07-31 10:10:37,North America,30820,29625,Growing
2022-01-23 10:25:00,Europe,22309,25677,Declining
2023-05-22 01:02:40,Australia,7348,7284,Growing
2023-11-27 18:36:45,South America,28081,25423,Declining
2022-12-06 00:30:58,Asia,31508,28394,Stable
2022-07-29 21:59:12,Europe,28130,25539,Stable
2023-06-03 01:52:18,South America,22585,23703,Stable
2023-07-27 22:06:50,Africa,34334,33602,Declining
2022-12-26 14:59:41,Australia,7595,8848,Stable
2022-07-25 23:56:45,Asia,34226,37565,Growing
2023-07-26 20:43:43,Africa,16405,17943,Declining
2023-06-05 18:56:24,South America,22529,23168,Growing
2023-01-04 01:02:08,Africa,44524,50699,Declining
2022-03-05 21:55:21,Asia,10562,12654,Growing
2022-03-31 00:12:33,Australia,13487,14454,Growing
2023-07-27 16:25:00,South America,28469,25859,Stable
2023-08-29 09:27:46,Europe,41762,45300,Stable
2023-05-17 20:37:14,Africa,46877,52382,Declining
2023-01-24 09:37:37,South America,42310,42267,Declining
2022-11-12 02:43:52,South America,26003,30161,Growing
2022-03-08 15:43:04,Asia,34595,41275,Growing
2022-02-09 12:54:53,Europe,24330,22831,Growing
2023-03-24 04:59:33,South America,17380,17958,Declining
2023-02-17 16:32:53,North America,7480,7708,Growing
2023-01-06 08:56:57,Australia,8839,9176,Stable
2022-07-09 23:14:31,Africa,37483,35755,Stable
2023-06-09 21:11:08,Africa,33191,32474,Stable
2022-08-30 19:36:59,South America,35470,32168,Growing
2023-11-05 15:32:41,South America,45401,49811,Declining
2023-04-16 23:27:26,Australia,31242,34827,Stable
2022-12-14 05:24:41,South America,26649,30169,Growing
2022-03-07 00:26:14,Australia,19526,21777,Growing
2023-09-08 12:31:44,Asia,22043,26047,Stable
2022-03-14 13:18:13,Asia,27396,27322,Declining
2022-03-19 12:13:01,Europe,4279,4488,Growing
2022-01-19 23:46:04,Australia,11435,11416,Growing
2022-01-12 11:15:01,North America,13427,14066,Stable
2022-11-23 16:19:06,Australia,20819,24210,Stable
2022-08-31 22:07:01,North America,33113,39514,Growing
2023-05-19 00:11:32,Europe,22367,24363,Growing
2022-11-16 05:05:13,South America,44035,48431,Stable
2023-03-08 18:42:54,Europe,42969,44463,Declining
2022-11-08 13:42:49,Australia,47184,44861,Growing
2022-12-29 01:37:01,North America,37305,39110,Growing
2023-03-11 11:31:47,Asia,36185,34351,Growing
2023-06-14 16:06:27,Africa,40811,43225,Stable
2023-10-28 16:41:31,Africa,23998,25330,Stable
2022-01-26 12:54:05,South America,15380,17786,Growing
2023-12-28 18:03:09,North America,4332,4434,Growing
2023-02-20 16:48:38,South America,46804,53143,Stable
2023-02-20 15:35:33,Australia,7082,6815,Declining
2023-05-15 12:30:05,Australia,45563,44169,Stable
2023-11-07 16:28:12,Africa,25405,25968,Growing
2023-05-10 18:12:59,South America,24076,28173,Growing
2023-02-23 06:24:15,Australia,14135,14770,Growing
2023-04-06 23:02:17,North America,32546,33884,Declining
2022-01-29 15:30:01,Australia,11145,11967,Declining
2023-03-11 12:21:59,North America,19440,17669,Stable
2023-10-27 18:51:05,South America,23005,22794,Growing
2023-01-12 17:56:06,Asia,43626,40054,Growing
2023-06-15 04:00:51,Australia,28915,33667,Declining
2022-03-29 09:07:08,Europe,1247,1423,Declining
2023-09-04 09:55:12,North America,5385,6366,Declining
2023-11-27 11:00:31,Asia,23490,24825,Stable
2023-02-21 12:44:36,Australia,43340,46049,Stable
2022-07-21 14:53:45,Europe,25627,28628,Growing
2023-09-29 02:03:07,Europe,22349,25605,Growing
2023-03-18 22:19:01,Africa,25180,29416,Stable
2023-12-15 13:10:03,Africa,10890,11771,Growing
2023-01-22 01:00:03,Australia,19046,22561,Growing
2023-06-27 02:40:30,Africa,13417,12554,Growing
2022-08-21 10:08:38,South America,24128,24719,Growing
2023-12-09 23:05:54,Africa,13188,14838,Stable
2022-01-29 09:19:35,Australia,3732,4239,Stable
2022-12-02 04:18:06,South America,6325,6821,Declining
2022-06-16 14:57:42,Africa,44071,50276,Stable
2022-06-07 20:27:51,Europe,14667,15599,Declining
2022-03-14 10:40:04,Europe,10767,10206,Growing
2023-04-29 13:37:24,Europe,13967,12601,Declining
2022-09-06 15:42:23,Australia,37380,43898,Stable
2023-10-03 00:27:03,Europe,49670,59036,Growing
2023-06-23 09:27:05,Europe,14122,13294,Growing
2023-11-15 17:55:46,Africa,33386,31720,Stable
2023-05-14 21:10:11,Europe,33139,36973,Stable
2023-02-15 16:12:34,North America,28538,28258,Declining
2022-03-31 13:04:47,South America,30744,27709,Growing
2022-08-25 12:57:02,Europe,13152,13513,Stable
2022-10-10 12:54:39,Australia,24850,27944,Growing
2022-01-09 02:11:24,Europe,25708,24299,Declining
2023-08-19 03:51:22,Australia,48669,49327,Declining
2023-09-28 13:56:21,Africa,21728,22166,Growing
2022-01-11 10:17:15,Africa,5894,6128,Declining
2022-07-25 14:46:14,Africa,38416,34598,Declining
2022-08-31 19:19:09,North America,45381,44630,Growing
2022-11-29 17:22:18,South America,19892,18163,Growing
2023-10-16 23:17:51,North America,43940,44110,Growing
2023-07-23 05:11:05,Australia,27653,25372,Growing
2022-11-25 05:54:33,Asia,34450,34944,Growing
2022-11-28 00:39:03,South America,7745,8863,Stable
2023-04-10 13:54:15,North America,28216,27733,Declining
2023-01-26 03:27:42,South America,26208,24655,Stable
2022-09-10 07:22:02,Asia,26856,29291,Growing
2023-11-13 00:55:09,Africa,2663,2436,Stable
2022-01-11 01:54:41,Africa,14656,14644,Declining
2023-09-10 08:44:05,North America,44200,50865,Declining
2022-06-05 19:28:51,Europe,33992,32512,Growing
2023-07-05 10:28:09,Asia,3192,3714,Stable
2023-03-29 02:08:43,Africa,1740,1627,Declining
2022-03-26 16:24:33,Asia,33251,31828,Growing
2022-04-15 05:00:22,Europe,16864,17589,Declining
2022-05-16 18:14:20,North America,26160,26654,Declining
2023-09-24 17:00:38,South America,21658,23753,Declining
2023-06-29 07:45:37,Africa,29794,35688,Stable
2022-09-08 02:04:04,Europe,11953,11855,Growing
2022-08-15 04:47:27,Africa,44885,49159,Stable
2022-03-21 05:35:15,Europe,2278,2474,Growing
2023-07-14 03:51:38,Africa,41325,44395,Stable
2023-06-13 18:19:07,Europe,4785,4451,Declining
2023-07-30 00:37:21,Asia,49447,50031,Stable
2022-06-09 08:21:40,Africa,18623,22226,Growing
2022-03-31 01:43:10,North America,32372,36458,Declining
2022-12-14 13:33:25,Asia,22503,21328,Stable
2023-08-14 22:18:40,South America,45152,41315,Growing
2022-06-28 20:52:34,Asia,38112,44434,Growing
2022-08-01 22:18:23,Europe,38896,44832,Growing
2023-02-26 15:26:24,Australia,49037,48503,Stable
2023-07-02 14:52:28,North America,19532,21224,Growing
2023-02-28 07:00:51,Asia,10749,9901,Stable
2023-05-26 05:16:54,Europe,30960,28487,Stable
2023-11-26 22:05:16,Australia,3130,3543,Stable
2023-04-21 15:13:26,North America,28930,28557,Stable
2022-04-07 15:49:38,Asia,37533,43643,Stable
2023-03-29 07:01:13,North America,37932,36985,Growing
2022-02-27 13:54:22,Europe,33748,36356,Declining
2023-12-17 15:28:49,Australia,28840,29772,Declining
2022-01-10 15:17:11,Asia,3621,3470,Growing
2022-04-27 17:19:16,North America,5169,5468,Stable
2023-10-19 16:04:25,Europe,20786,20246,Declining
2023-05-04 21:25:17,Europe,25785,29743,Stable
2022-08-18 19:35:26,Australia,1040,1045,Declining
2023-06-30 21:12:26,South America,26601,31691,Stable
2022-09-21 16:57:38,North America,38285,39179,Stable
2023-03-14 20:15:18,North America,47012,53399,Stable
2022-05-25 17:17:40,Africa,37639,39629,Growing
2023-01-30 18:46:47,South America,41772,39726,Stable
2022-07-23 17:59:47,North America,19126,19568,Growing
2022-12-16 13:41:29,Africa,35847,42172,Stable
2023-01-19 16:06:36,South America,15731,18535,Stable
2022-11-16 02:56:08,North America,13515,16031,Declining
2023-03-25 08:01:45,Australia,4788,4890,Growing
2023-11-16 12:49:04,Africa,8285,8036,Stable
2022-01-21 16:55:27,Asia,1340,1439,Growing
2022-09-13 23:16:34,Africa,1317,1430,Growing
2023-05-23 13:50:53,North America,18916,22583,Declining
2022-08-07 14:36:59,South America,44424,52612,Growing
2023-01-12 10:36:02,Australia,15925,15210,Declining
2022-03-12 18:22:01,Africa,22217,25752,Declining
2022-12-04 08:41:08,North America,28298,27416,Declining
2023-09-11 17:44:24,Europe,19108,22390,Stable
2023-01-31 04:17:01,Australia,9431,8515,Stable
2022-12-09 11:55:57,Asia,35351,38924,Stable
2023-08-26 19:57:02,Africa,31339,36701,Stable
2022-11-05 22:49:38,South America,26426,30207,Declining
2022-11-06 23:02:15,Australia,7727,7504,Growing
2023-06-13 12:33:22,South America,24422,23660,Growing
2023-08-22 14:19:17,Asia,2236,2074,Declining
2022-03-31 17:44:22,Africa,8530,7744,Declining
2023-09-08 04:38:01,Africa,11390,11619,Stable
2022-03-23 18:28:43,South America,8296,9062,Declining
2023-01-27 08:18:43,South America,15910,17080,Stable
2023-08-13 11:34:35,North America,1047,1244,Declining
2022-09-06 08:43:35,Asia,34477,39124,Declining
2022-06-03 09:38:29,Australia,9853,10579,Growing
2023-05-15 09:15:38,Europe,7220,6723,Declining
2023-03-06 04:44:23,Europe,40346,48027,Declining
2022-05-07 01:35:08,Australia,15080,16859,Declining
2023-12-25 17:29:12,Europe,41822,47612,Declining
2022-05-26 17:48:20,South America,49596,54251,Declining
2023-02-04 15:03:00,Africa,20888,22613,Growing
2022-11-25 09:56:16,Europe,36979,41942,Growing
2022-10-26 22:12:10,North America,23452,22914,Declining
2023-12-27 19:07:44,Australia,21044,19984,Growing
2023-05-29 22:57:48,Australia,47694,43867,Stable
2023-03-07 03:46:53,Europe,47825,47339,Stable
2022-10-01 08:30:25,Africa,3988,4586,Growing
2023-04-17 11:29:45,South America,5383,5286,Stable
2023-03-23 05:32:09,Europe,4513,4451,Declining
2022-10-01 22:22:44,Europe,12133,14339,Stable
2023-02-13 17:57:25,South America,9986,11761,Growing
2022-03-04 20:51:14,North America,37408,34064,Growing
2023-10-10 15:39:40,North America,41249,47069,Stable
2022-11-01 04:45:50,South America,19964,22840,Declining
2022-08-20 17:30:31,South America,25398,24564,Stable
2022-08-18 08:23:04,South America,24673,25599,Stable
