Region,Customization_Option,Popularity_Index
Australia,Packaging,0.11921755695479941
South America,Size,0.07718192765134291
Africa,Size,0.1049255147723469
Africa,Color,0.8363849796424632
South America,Size,0.8911576828589878
South America,Design,0.49331347763002675
Europe,Design,0.5376909132248248
Asia,Design,0.4469156925542759
Africa,Design,0.5509735854944305
Africa,Features,0.8732222119014288
Asia,Features,0.05273931080040084
Africa,Packaging,0.12329089955303929
North America,Size,0.9392853628651046
North America,Size,0.9779321725622374
Europe,Features,0.42312639394327445
Australia,Size,0.8884146273082305
North America,Color,0.011082061193202097
South America,Features,0.34380757836690745
South America,Packaging,0.8503900442093555
South America,Size,0.5060003338613271
South America,Packaging,0.38547056132516944
North America,Size,0.16472107750106146
Australia,Size,0.5217327499018287
Africa,Design,0.8676045265090142
Asia,Size,0.671475292844344
Asia,Design,0.9462903752278267
Australia,Features,0.913085120830659
Europe,Size,0.7082907677717082
Asia,Size,0.38855964402179854
Africa,Size,0.09635119510486512
Africa,Design,0.988640098038079
South America,Features,0.25159908643242923
Africa,Features,0.2004431208448264
Asia,Color,0.7199512354043448
Africa,Packaging,0.9418783426801619
South America,Size,0.8938087203314344
South America,Size,0.9765542138824355
Asia,Design,0.9427874128836635
Europe,Design,0.6233639647172072
Europe,Design,0.11855995164880362
Asia,Packaging,0.2844042168333587
Australia,Size,0.33044689448246556
Africa,Features,0.9850548875232776
Australia,Color,0.8598252044249833
South America,Size,0.6042263761793586
Asia,Color,0.7934101029236771
Africa,Features,0.4212730661258982
Europe,Packaging,0.8518744198216753
South America,Features,0.3500044139367836
South America,Size,0.7736446341767461
Africa,Features,0.2523483310405614
Asia,Size,0.4074901331462891
Europe,Color,0.5893544474417449
North America,Size,0.056208238322577264
Europe,Size,0.27815975703817075
Europe,Size,0.1922467417155702
Australia,Color,0.15117037359347651
Europe,Features,0.541041070943329
Asia,Color,0.8170798618286819
Europe,Color,0.5561006624505808
North America,Design,0.9783653267285279
South America,Design,0.5280182532341617
Asia,Color,0.8716262896063524
Europe,Size,0.4957480076048545
Australia,Packaging,0.9360657626911066
Asia,Design,0.3197915591332664
Europe,Features,0.9804176250393046
North America,Color,0.4644323582309303
Australia,Size,0.49899882742048696
Africa,Design,0.017737825437374344
Australia,Features,0.5130474512463584
Asia,Features,0.8803258929744199
Australia,Design,0.9235033325118854
Europe,Size,0.7599861109727436
South America,Features,0.2513033186528415
Europe,Features,0.011579658116688596
Europe,Packaging,0.9711392127989433
North America,Size,0.48975232004557334
Africa,Size,0.192520807975899
North America,Features,0.030391427895732903
Australia,Design,0.5886033299197809
Europe,Packaging,0.7103734694343173
South America,Design,0.6815712354599123
Asia,Size,0.40575985687459015
Europe,Design,0.8568152383372246
Europe,Color,0.007037918128183662
Asia,Features,0.8729172724144819
South America,Packaging,0.26166487083469536
Australia,Design,0.4861985061702826
Africa,Features,0.3617612735118322
Africa,Design,0.0499953936065074
Europe,Design,0.9286902382626796
Asia,Packaging,0.3475583748176456
Australia,Features,0.7441591600307699
North America,Design,0.8048081899813515
Australia,Design,0.41181327095119
Europe,Size,0.4527649788196755
South America,Packaging,0.8634872435894816
South America,Size,0.5104793350041218
South America,Packaging,0.6039089775241101
Australia,Size,0.5295334695511663
Asia,Design,0.3450713467395615
North America,Design,0.9733877595992392
South America,Packaging,0.2247495859158013
Asia,Design,0.9357297194910353
Europe,Color,0.8279371262236663
Asia,Size,0.9896859415172741
Australia,Design,0.6058971684205975
Asia,Features,0.01655092974437833
Australia,Features,0.5711977909059314
Africa,Packaging,0.2622801457813252
North America,Packaging,0.22714714840767347
Asia,Color,0.330963307022788
North America,Packaging,0.25508714868895876
Australia,Design,0.8619549318783138
Africa,Color,0.45103051279781037
Africa,Packaging,0.7722970613374266
North America,Packaging,0.6697620112523267
South America,Size,0.804600857786719
Europe,Design,0.21052494871705485
Australia,Packaging,0.21544314529029485
Asia,Packaging,0.10433956943577172
Australia,Color,0.0631268198985111
Asia,Design,0.5947297845389026
Asia,Packaging,0.27859216268722165
Asia,Color,0.2641076786060764
Australia,Size,0.0674691603745593
Africa,Features,0.5408355870053987
Asia,Packaging,0.6505944402691319
Asia,Features,0.6928794157352657
Europe,Design,0.6624001292973076
Africa,Size,0.5318021729595542
North America,Packaging,0.23160632208928433
Europe,Color,0.18405808646151833
Africa,Packaging,0.9043797125558408
Europe,Size,0.799840525749914
Australia,Packaging,0.334778819983082
South America,Color,0.11705195691590264
Africa,Features,0.9826249536135776
Australia,Packaging,0.8940032659392082
North America,Design,0.2848486547396061
Australia,Packaging,0.2905587502425965
Africa,Design,0.5733485903604749
Asia,Design,0.22772741292856313
North America,Design,0.05245698025517287
Asia,Packaging,0.9298246640913075
Asia,Packaging,0.5435482732165056
Australia,Design,0.5081901938029363
Europe,Color,0.4010882018577385
Australia,Size,0.7929919032062148
North America,Size,0.8885899372919197
Africa,Packaging,0.08338612117141742
North America,Features,0.6646994998488569
Australia,Packaging,0.591798021376617
Asia,Packaging,0.10289923623401975
Europe,Packaging,0.8795794508985649
Europe,Packaging,0.8736436694583287
Australia,Features,0.48114384234835783
Australia,Packaging,0.35077173446432786
Africa,Packaging,0.6009410305032485
Africa,Packaging,0.7036517843517807
North America,Size,0.41142330399001104
Australia,Size,0.42550620200406086
Asia,Color,0.36265157448232044
Asia,Features,0.8932473097028889
Africa,Design,0.5837606067425658
Asia,Design,0.3590884077326877
Europe,Size,0.10701450847343719
Africa,Size,0.6362187005314112
South America,Features,0.5965701129677644
Africa,Packaging,0.29239396694657016
Africa,Design,0.443450029317244
North America,Packaging,0.09866404440288712
South America,Packaging,0.01728795411006301
Europe,Packaging,0.568086769453444
North America,Features,0.5707125009434969
Asia,Size,0.5865224683195999
Australia,Color,0.5411064699257007
Australia,Features,0.9834287099097054
Asia,Packaging,0.6645622748333487
Asia,Color,0.09332938879913122
South America,Color,0.622198305863536
Asia,Size,0.5690618603426151
North America,Size,0.8694114111098223
Australia,Features,0.7847358992974985
South America,Color,0.3829883088461019
South America,Design,0.0011923783800223964
South America,Packaging,0.17662443141822415
North America,Features,0.5162140485541458
Australia,Packaging,0.3331097975406855
Australia,Color,0.535285512128445
Europe,Size,0.49141845519786087
Asia,Design,0.7830310597101706
Europe,Size,0.02272717463497964
Australia,Size,0.5512212937889576
Africa,Color,0.6162247372916739
Europe,Packaging,0.7670716212796561
South America,Features,0.007276462433532416
Australia,Size,0.1941056660458943
South America,Features,0.16094457344197832
South America,Design,0.568709238548575
Europe,Packaging,0.2360248429041294
Africa,Size,0.6306017144886394
North America,Design,0.29374140451760644
Australia,Design,0.17770883191884712
Asia,Color,0.09602973818859084
Europe,Color,0.9089347952347258
Africa,Size,0.235354945200566
North America,Size,0.3817928858117944
Australia,Size,0.38909262440745174
Africa,Color,0.45308916303461266
Asia,Size,0.11328799467530615
Asia,Size,0.3528930109831301
Australia,Color,0.7219203047483831
Europe,Design,0.7485409337579704
Australia,Size,0.3596681925518649
South America,Packaging,0.18665534655540383
Asia,Packaging,0.64294142164229
North America,Design,0.7749911649210698
Africa,Design,0.5185534131294461
Africa,Packaging,0.13084191251004607
South America,Packaging,0.5902105207148368
South America,Color,0.28977160353234044
Africa,Design,0.6764201095412448
North America,Design,0.00035095232774673413
South America,Color,0.7281954235175591
Asia,Packaging,0.05614882132806154
Europe,Size,0.16969248265496917
South America,Features,0.9609853718927815
Asia,Design,0.8471437150363932
North America,Color,0.3679854579549787
Australia,Design,0.576302403158219
South America,Packaging,0.6918534294584145
Africa,Packaging,0.7166446854415053
North America,Size,0.5572081117746668
Europe,Color,0.4924696460221243
North America,Packaging,0.8461827113534363
Europe,Color,0.45895137394001084
Europe,Features,0.9930237626467648
Africa,Size,0.6739248204511178
Asia,Color,0.9898708928941743
Africa,Features,0.4279532746673782
Europe,Color,0.19857305767737676
North America,Size,0.5978657908776005
Africa,Packaging,0.0904945517926552
South America,Packaging,0.6355560318934487
Africa,Color,0.7495851990326232
South America,Size,0.30010240982917635
Europe,Features,0.29122029233384317
North America,Size,0.24066817058288037
Australia,Size,0.13983460957832994
Africa,Size,0.0318505142184512
Asia,Packaging,0.07510272521897854
Australia,Packaging,0.2771581938139579
Africa,Design,0.6050479834227132
Europe,Color,0.44581176239905596
Europe,Color,0.2458463117195927
Asia,Features,0.4002355856049722
North America,Color,0.8494995019675411
Asia,Color,0.3333805547262083
Africa,Design,0.7490117521633803
Australia,Color,0.5381328556732217
North America,Color,0.5856927202196036
Australia,Design,0.06381720839196392
Europe,Color,0.880939367417791
South America,Packaging,0.08033016097874868
South America,Design,0.5183656667336305
Australia,Packaging,0.568375827198859
South America,Color,0.8292701090775974
Africa,Features,0.28843035057471267
Australia,Packaging,0.36936629553728295
Europe,Features,0.07196136195336211
South America,Design,0.13196719081262043
Africa,Size,0.5460978214489897
North America,Features,0.6651689337133156
Africa,Design,0.23290383890134114
North America,Design,0.09280842167785519
Europe,Design,0.22824437261493524
South America,Features,0.6367206746334304
Australia,Size,0.7746495095515896
Africa,Size,0.6931333583507661
Asia,Design,0.3234049976438266
Europe,Size,0.5030242974918067
South America,Packaging,0.8377683371906358
South America,Size,0.8258782914769707
Europe,Design,0.0023330926350803027
Asia,Packaging,0.21382455840118575
Europe,Features,0.3231523152204706
Europe,Packaging,0.9667573667049211
Asia,Packaging,0.43692353157824726
Australia,Features,0.9881573525383488
Africa,Color,0.8510625921136492
North America,Packaging,0.17218437426665678
South America,Features,0.19262093361216137
Asia,Features,0.9194354079564199
Europe,Design,0.40424608132600615
Europe,Color,0.04932029156822659
Africa,Size,0.6200335957831528
Europe,Features,0.24354434857606055
Australia,Packaging,0.26153775047721695
Europe,Size,0.3378030980961181
North America,Design,0.7724373144158319
Australia,Features,0.8894107544444535
Australia,Size,0.8150138107587932
Australia,Design,0.24561483322261812
Australia,Design,0.3703520681410728
Europe,Features,0.3335485706395691
Asia,Size,0.9006650623118736
Australia,Features,0.3304564756153314
South America,Design,0.8006830795664139
Asia,Color,0.981978125525604
Asia,Color,0.3714189222127755
Asia,Color,0.07994612776474663
Africa,Features,0.5661054998153197
North America,Packaging,0.18186249279320021
South America,Size,0.32753719780587665
Europe,Design,0.3601157061923347
Africa,Size,0.6282297166862282
Asia,Color,0.9167001062467661
Australia,Color,0.8887703573990345
North America,Size,0.10458263337355977
Australia,Design,0.7509033623664055
Asia,Design,0.8982112013056669
Asia,Features,0.10818677413118949
Europe,Features,0.7284649672942475
South America,Features,0.683751393127331
Australia,Features,0.21826918059006373
North America,Size,0.3839653028595208
Europe,Design,0.4680285315534741
Asia,Size,0.35404926831089867
Africa,Packaging,0.7242894866485228
Asia,Color,0.35286485253687216
Australia,Color,0.49146396720720253
North America,Design,0.680039565563663
Asia,Features,0.9788584673517527
Europe,Features,0.013971235314134578
Africa,Packaging,0.5427897844029099
North America,Features,0.013233778194591594
Europe,Packaging,0.7454423397852333
Europe,Size,0.35038841620998984
North America,Design,0.8205759664497488
Asia,Packaging,0.15303715235490767
South America,Packaging,0.16876097755641972
Asia,Design,0.15642437744132676
Africa,Size,0.3318851624520117
Asia,Size,0.7592059886286383
Africa,Design,0.5546946801368515
Australia,Design,0.17355602719608243
Australia,Packaging,0.6922822525111979
Europe,Design,0.1868539652981489
Africa,Features,0.7746004798958489
Africa,Design,0.5922188525293723
South America,Packaging,0.7176202886895728
South America,Design,0.9529341607478948
Europe,Packaging,0.8905585597863945
South America,Design,0.19319363368518327
Europe,Color,0.44306960607025914
Asia,Packaging,0.9581887483245363
North America,Packaging,0.04160592098247706
Asia,Design,0.9577355015784014
South America,Size,0.5010580473632896
South America,Design,0.38975751752110943
Asia,Features,0.8663745836174258
Africa,Design,0.511461807446803
Africa,Packaging,0.7546422213552493
Europe,Features,0.7244544133148841
Europe,Size,0.6926047246798712
Australia,Color,0.984762161804803
North America,Color,0.018711960106495784
Asia,Color,0.12343843874922389
Africa,Design,0.5800012281244786
Europe,Features,0.3990198796866218
Asia,Features,0.2567318875202451
Australia,Packaging,0.022901335138061918
Asia,Features,0.6022564390956118
Africa,Features,0.4186111633979469
Australia,Size,0.2806719892482227
South America,Color,0.2781533629881462
Asia,Design,0.22317530368880067
Africa,Size,0.7167913970262694
Asia,Color,0.9776055533388799
Australia,Packaging,0.5559037947372377
Europe,Color,0.9291156428452882
Asia,Design,0.8776350673416513
Australia,Size,0.5737062233331891
Africa,Size,0.888465669318185
Australia,Size,0.668144502654224
Africa,Color,0.13153252692314477
South America,Size,0.08110813848682541
North America,Features,0.02787135877493485
Europe,Color,0.7715127425444633
Africa,Design,0.9339397567344243
Asia,Design,0.600158321103654
Asia,Size,0.25330422877792824
Africa,Packaging,0.8011861682778045
Australia,Color,0.85476605728128
Africa,Features,0.3390615383308755
Asia,Size,0.5118043322925407
North America,Color,0.5824922455092412
Australia,Packaging,0.9106190011564231
Australia,Features,0.14370135316599064
South America,Size,0.7399403514771888
Australia,Color,0.1345493410218379
Europe,Design,0.8302665521656019
Asia,Size,0.32398176447203353
Australia,Color,0.21254625324921395
Australia,Color,0.4753215807438892
South America,Size,0.14653662957588331
Europe,Size,0.26159854267691807
Europe,Packaging,0.7543156370864178
Asia,Packaging,0.6626771802886952
South America,Features,0.8802377646089717
South America,Size,0.7282756684179085
Europe,Size,0.5228523397424275
Australia,Color,0.4987598465488784
Asia,Size,0.543334490111375
Africa,Color,0.8041909239400807
Africa,Packaging,0.9678108853753304
Europe,Design,0.10955070173938875
North America,Size,0.2285191727035415
Asia,Size,0.21186400691078155
Europe,Color,0.8935763953093506
Asia,Size,0.7175457214373545
Africa,Color,0.6198150930669463
Europe,Size,0.2556226402439141
South America,Size,0.24066430836368857
Australia,Packaging,0.7165219308601312
South America,Design,0.5100876917611663
Europe,Size,0.08963198973776798
Australia,Color,0.016102333095421972
South America,Packaging,0.03345825685941517
Australia,Design,0.8581319219666559
Africa,Packaging,0.8706294722525284
Africa,Design,0.7827231596556382
North America,Design,0.4534788326435585
North America,Features,0.2635017827476859
South America,Design,0.8888872744433886
Asia,Size,0.3016142010782855
South America,Packaging,0.3767192029705676
Australia,Color,0.4553829273453266
North America,Design,0.3224193295076818
South America,Packaging,0.8169055179781665
Europe,Packaging,0.3883874721442909
North America,Design,0.22160843924507256
Asia,Features,0.6212847708496999
Asia,Features,0.5174256330077605
Australia,Features,0.09518342884043862
Africa,Size,0.02426836149686129
Australia,Color,0.7773053865831655
Asia,Packaging,0.6156208874399126
Africa,Color,0.0845869002502172
South America,Features,0.9828323419866126
North America,Design,0.5647188918600095
North America,Features,0.914672091047736
Australia,Size,0.5428379749609827
Asia,Size,0.35016036023247554
Australia,Features,0.06634106954343433
North America,Color,0.14709161225660994
Asia,Features,0.9188340240851987
Europe,Size,0.4586197366165039
North America,Design,0.9632777044368163
North America,Features,0.8791096518401982
Europe,Design,0.40839435969684823
North America,Color,0.8145421527105439
South America,Packaging,0.7769321684891562
Australia,Color,0.6775746592533084
Asia,Features,0.0928426444416387
Europe,Design,0.22790307610438287
Europe,Packaging,0.1110698607665419
Africa,Packaging,0.921871267871626
South America,Packaging,0.980255069769118
Australia,Packaging,0.4148872366182351
Africa,Features,0.5172938840028316
South America,Color,0.051174054353886445
Europe,Packaging,0.2322746325131232
Europe,Color,0.9979637578189207
South America,Color,0.22419333399618102
Europe,Size,0.5820825869694657
Europe,Size,0.10666869669705681
Asia,Color,0.766968285314893
Africa,Packaging,0.49093660968688957
Australia,Features,0.26688461289112597
South America,Color,0.6689845875694576
Africa,Features,0.7517484353436902
Africa,Color,0.5985045505312303
Australia,Features,0.2747063700179677
North America,Color,0.8244383577282229
South America,Color,0.46272825806354534
Africa,Packaging,0.6639572470213487
North America,Packaging,0.5039885500176001
Asia,Packaging,0.746390160297266
Australia,Features,0.906810074400943
Australia,Packaging,0.19779147453623636
North America,Color,0.9976386390607004
North America,Size,0.6302667834702712
Europe,Color,0.9131564294306281
Australia,Design,0.8623340219309268
Asia,Design,0.2958660344238099
North America,Color,0.0024505335940856465
North America,Color,0.072509289386127
Europe,Features,0.17934576493694
Asia,Packaging,0.4814809606505942
Asia,Features,0.8743438029069068
Europe,Design,0.235984987247984
North America,Features,0.7925359654864802
Europe,Color,0.5665002612932738
Africa,Packaging,0.9214368524906091
North America,Features,0.6954148246881732
Australia,Features,0.3633238118900999
North America,Size,0.5530242301408737
North America,Size,0.17222259431068687
Australia,Features,0.12300927335662049
South America,Packaging,0.29545267876752535
Africa,Packaging,0.5744402016682302
Australia,Color,0.38987045297451295
Asia,Color,0.10710399933644599
Australia,Features,0.36075515515966383
Europe,Size,0.6724933227016884
Asia,Color,0.2715554923837491
North America,Features,0.7959742322005083
Australia,Color,0.3421740387955393
North America,Design,0.8916262842812075
Asia,Color,0.5009273469695678
Asia,Packaging,0.3776101152090402
Australia,Design,0.8890436620752687
Australia,Design,0.9415719073769911
Europe,Size,0.4439224067666
Australia,Packaging,0.860778909686273
South America,Features,0.9471787495313126
South America,Design,0.19864084336973087
Europe,Size,0.943542564908946
Asia,Packaging,0.3605539397861215
North America,Color,0.23543466375112132
Europe,Packaging,0.744365176023896
Africa,Features,0.6357573609326209
South America,Color,0.10437632134557884
Australia,Color,0.6335201558634822
Europe,Size,0.6081738876440467
Europe,Packaging,0.2195918981667332
Africa,Size,0.6731228372975394
Africa,Design,0.2756215126041328
Australia,Features,0.47762493916276527
Asia,Packaging,0.43906404732629833
South America,Packaging,0.1769851672663686
South America,Packaging,0.10499797988678294
Australia,Size,0.579534299227167
Asia,Design,0.6993446175981318
Africa,Size,0.4770430982710654
Africa,Features,0.2788613539010485
Africa,Design,0.7543666060675123
Asia,Size,0.12460349438230978
Africa,Packaging,0.4664001491324312
Europe,Color,0.9417124228905731
Europe,Color,0.23027403009356207
South America,Packaging,0.5983844947316829
North America,Color,0.22890485474197597
Europe,Design,0.0773519613099316
Australia,Color,0.1872521783080482
South America,Design,0.2188311314911905
Asia,Features,0.7252957968107577
North America,Packaging,0.1760655952969863
Europe,Design,0.1360745298290018
North America,Packaging,0.4409474065292789
Africa,Color,0.6585859223517088
South America,Packaging,0.23684494968003078
Australia,Color,0.10782421278240306
Asia,Features,0.41509879419010864
North America,Size,0.28000685603572517
South America,Packaging,0.7526777238795975
Africa,Packaging,0.20903601363012303
Europe,Design,0.42054199312370466
Australia,Design,0.9219863615628783
Africa,Packaging,0.36125319078812435
North America,Size,0.4338519759120044
Asia,Design,0.16989123790346328
Africa,Packaging,0.7622708256329948
Asia,Design,0.5465880387607582
Europe,Color,0.4983920376729044
Asia,Design,0.18034453018376884
Australia,Size,0.8514124103396593
South America,Features,0.7961818515476867
Asia,Color,0.17572797152878228
Australia,Color,0.37126744572556813
Africa,Design,0.9468629468002135
South America,Color,0.5216838695462418
Australia,Color,0.0660644804849948
Europe,Size,0.47676783270575873
Africa,Features,0.5727869073175661
Australia,Packaging,0.44916572583261083
South America,Design,0.08272586766877077
Australia,Features,0.3357402904104365
North America,Features,0.06460744046399136
North America,Features,0.17406484361278196
Australia,Size,0.043548483441247066
North America,Design,0.2149232117287555
South America,Features,0.9954249515784583
Australia,Design,0.41810451273795424
Europe,Features,0.1282047303025744
South America,Color,0.2928762530563047
Asia,Size,0.38907422347610254
Asia,Features,0.6191342559582408
North America,Size,0.6049668129334385
South America,Size,0.8464410168831824
Africa,Design,0.7447218266413796
Africa,Design,0.35347707717264676
Europe,Design,0.03202465022871659
Australia,Color,0.9965633054785774
North America,Color,0.7250977739054045
Europe,Size,0.504730351792892
Australia,Color,0.7376287820700084
North America,Color,0.5075195075319738
Europe,Size,0.437124978143008
Asia,Packaging,0.9423963967321656
North America,Color,0.9286728305973334
South America,Features,0.9117660222561769
Europe,Packaging,0.07506745503550694
Europe,Packaging,0.33516465106406834
South America,Design,0.3529291113174684
Australia,Color,0.9636822842463079
North America,Design,0.66135415433143
Europe,Design,0.5994511466244626
Asia,Color,0.9186096424012652
Asia,Size,0.8772503127681381
Australia,Design,0.5646870483754279
South America,Color,0.795736153532018
North America,Size,0.7277590847048688
South America,Design,0.5349315413645777
Europe,Packaging,0.8197257763621628
North America,Packaging,0.7933850984065213
Australia,Packaging,0.36242689260658556
North America,Packaging,0.7806097036009971
North America,Features,0.151738956481965
South America,Size,0.7081225407441981
South America,Features,0.8236510489432612
South America,Color,0.24929896089705372
Australia,Size,0.2270356835310423
Europe,Packaging,0.6357978354611197
Asia,Design,0.5168110200035384
North America,Packaging,0.3853103303002994
South America,Color,0.5758792958122818
Africa,Packaging,0.2771854669702002
Africa,Features,0.06681732161298493
Europe,Color,0.7986775316721778
South America,Design,0.12533371274248273
Asia,Color,0.1462451153882216
Asia,Design,0.6860384772450095
South America,Design,0.37637923146662344
Asia,Color,0.7239489616366253
South America,Size,0.7348733714122094
South America,Features,0.17074243622199892
Africa,Size,0.9527714887354942
Africa,Design,0.8681363156867257
Europe,Design,0.9710014160632799
North America,Size,0.18625932371725862
Europe,Features,0.579486640336695
South America,Design,0.38152051768823436
Europe,Packaging,0.6003664485879988
Europe,Size,0.6356272731070972
North America,Features,0.3691216996192196
North America,Size,0.5923128382319933
Africa,Features,0.20947347096472213
North America,Size,0.2910504635106552
Europe,Design,0.26832077275959954
Africa,Size,0.9449110256638729
Europe,Design,0.9079878615001149
Australia,Packaging,0.048298501196466836
North America,Size,0.45391601808674276
North America,Size,0.8441050838833696
Europe,Packaging,0.5851215763461183
Australia,Design,0.8100711982233724
Asia,Packaging,0.694456353183358
Australia,Color,0.9113527250556763
Australia,Size,0.8038823291399677
Europe,Features,0.3090683654064321
North America,Design,0.8084501886052261
Europe,Color,0.7630593620791326
Europe,Packaging,0.9721591375435807
Asia,Size,0.24255307824147954
South America,Packaging,0.7487600206301521
North America,Color,0.4079746298479363
Africa,Packaging,0.32469474217183314
Asia,Size,0.19104067292552285
North America,Packaging,0.1660421875449405
Africa,Design,0.5708279924490334
North America,Packaging,0.48871008426769036
South America,Color,0.3606555748859448
Australia,Color,0.4948050117029247
South America,Size,0.8174743952860533
Australia,Size,0.379075217992347
North America,Packaging,0.6896324535671505
Europe,Size,0.33249961627496827
Africa,Size,0.008563222524537561
Asia,Size,0.2263323126188017
Asia,Design,0.037912051891557774
North America,Size,0.4587726146003587
Asia,Color,0.8488858558651124
Africa,Size,0.9119571007095908
Africa,Color,0.37515295360786327
Australia,Size,0.07051081212105426
Asia,Packaging,0.3452965792881487
Asia,Features,0.6877976065391356
Australia,Packaging,0.04459502475055088
South America,Design,0.6988859473548124
Australia,Size,0.8137343357268135
Australia,Packaging,0.8881118269020116
Asia,Packaging,0.7337306851396604
Europe,Design,0.8647077114198094
Asia,Features,0.32798536773828635
Asia,Packaging,0.08050292301484885
Europe,Color,0.21923916389781173
South America,Features,0.9003276009589971
Africa,Color,0.6011718156451322
North America,Color,0.23695736667481593
South America,Color,0.37992550088789134
Australia,Color,0.697358605584907
Africa,Color,0.07280513898077934
Asia,Features,0.7094516777645927
Asia,Size,0.798168646126124
Africa,Features,0.5683672519602584
South America,Packaging,0.5096590913825894
North America,Color,0.48255316537992565
North America,Features,0.09373340110191641
Australia,Packaging,0.9297585855208319
South America,Packaging,0.07898985233441003
Europe,Features,0.4339686741764335
North America,Design,0.9869170241859423
Africa,Size,0.9253627013380902
North America,Packaging,0.30451428161557925
Africa,Packaging,0.5726410754483527
Africa,Size,0.42639215827549093
North America,Size,0.17454264559900878
Africa,Color,0.8753357722796316
Australia,Design,0.05214425716068316
Australia,Design,0.580546317787944
North America,Design,0.6366411864508903
Australia,Features,0.2261901162706056
North America,Size,0.3298124518409745
Asia,Color,0.0031668398090400895
Europe,Features,0.4308121058341705
South America,Design,0.6892502026059394
Australia,Design,0.9136693266068958
Asia,Color,0.3549210370955428
North America,Packaging,0.2589089649666815
Asia,Color,0.8232087069950018
Asia,Packaging,0.5464895783263286
Africa,Features,0.7502378584268352
Asia,Packaging,0.37026981376340884
Australia,Color,0.7876812806600132
Asia,Design,0.13352301436086667
South America,Packaging,0.18233933378364298
Africa,Packaging,0.06936391217689919
Asia,Size,0.5317315890031986
Australia,Color,0.8491626215774584
South America,Color,0.5773979479652134
North America,Packaging,0.025507728034929067
North America,Color,0.014356457907528597
South America,Packaging,0.47550574249407584
Africa,Design,0.13504731296692485
Australia,Design,0.32614672401914213
Asia,Design,0.8639644774469339
Asia,Packaging,0.6842258857764454
South America,Size,0.29660891620329455
North America,Features,0.8322956649777208
Australia,Features,0.9522906637285564
Africa,Design,0.37816880606003067
South America,Design,0.21361613513617306
South America,Features,0.2707885333228365
Australia,Color,0.7860707588497196
Europe,Design,0.9872958198946418
North America,Design,0.864651345978343
North America,Color,0.10856364805206375
Australia,Size,0.4551140892453044
Asia,Color,0.7451307130258533
Asia,Design,0.03281331950855093
Europe,Features,0.2604840822190472
North America,Size,0.976721864677469
North America,Features,0.7757898932593424
Europe,Color,0.8443962845230153
Asia,Packaging,0.06619687301906041
Asia,Color,0.5286424780313741
Asia,Design,0.17541418650932095
Europe,Size,0.7806201141566845
Australia,Design,0.3248750942713102
Africa,Packaging,0.7748876082964034
